t_us,dt_us,ax,ay,az,ppg
15193081,10022,-0.076660,0.577515,-0.812500,508
15203076,9995,-0.077637,0.575684,-0.812134,508
15213061,9985,-0.076538,0.576172,-0.810425,509
15223087,10026,-0.074707,0.575806,-0.809692,511
15233089,10002,-0.073364,0.576416,-0.807861,510
15243080,9991,-0.072144,0.576172,-0.807251,510
15253079,9999,-0.071655,0.575806,-0.806274,513
15263074,9995,-0.071655,0.575562,-0.806274,513
15273064,9990,-0.070435,0.576416,-0.807739,516
15283088,10024,-0.070923,0.578491,-0.808228,515
15293065,9977,-0.070435,0.578369,-0.809692,519
15303079,10014,-0.070557,0.577271,-0.809448,516
15313080,10001,-0.071655,0.578125,-0.809204,520
15323085,10005,-0.073608,0.576416,-0.810913,521
15333059,9974,-0.074463,0.578247,-0.810791,516
15343069,10010,-0.075073,0.577393,-0.809937,518
15353082,10013,-0.075195,0.577881,-0.810547,523
15363088,10006,-0.075806,0.577271,-0.810669,513
15373070,9982,-0.074585,0.574585,-0.809570,513
15383076,10006,-0.073975,0.574829,-0.809814,518
15393076,10000,-0.073242,0.575439,-0.809570,512
15403087,10011,-0.075195,0.575928,-0.808105,517
15413088,10001,-0.072876,0.576416,-0.806763,516
15423081,9993,-0.071045,0.576538,-0.805908,511
15433065,9984,-0.070435,0.576660,-0.806274,514
15443075,10010,-0.071289,0.577148,-0.808594,514
15453059,9984,-0.073364,0.578247,-0.809082,510
15463063,10004,-0.073608,0.577881,-0.810425,503
15473085,10022,-0.075562,0.578003,-0.811890,512
15484069,10984,-0.074463,0.577148,-0.808716,510
15493062,8993,-0.074097,0.575317,-0.809204,511
15503074,10012,-0.074097,0.574341,-0.812256,506
15513075,10001,-0.074219,0.574585,-0.811279,510
15523062,9987,-0.074341,0.575439,-0.812012,512
15533072,10010,-0.074585,0.574829,-0.811646,510
15543061,9989,-0.072754,0.576294,-0.809570,504
15553074,10013,-0.071777,0.578369,-0.808594,512
15563068,9994,-0.071533,0.576782,-0.806030,511
15573063,9995,-0.070923,0.577637,-0.805542,511
15583062,9999,-0.070923,0.578979,-0.807495,512
15593083,10021,-0.071167,0.579590,-0.807007,512
15603066,9983,-0.072021,0.577515,-0.808228,513
15613087,10021,-0.072754,0.576050,-0.810059,513
15623087,10000,-0.073853,0.574707,-0.809204,514
15633064,9977,-0.075439,0.575562,-0.842529,512
15643068,10004,-0.080566,0.575806,-0.812866,514
15653082,10014,-0.080688,0.578369,-0.809570,505
15663081,9999,-0.079590,0.580200,-0.807983,511
15673061,9980,-0.074951,0.579956,-0.807251,512
15683076,10015,-0.071777,0.581421,-0.805786,505
15693079,10003,-0.069214,0.575439,-0.809204,510
15703079,10000,-0.068848,0.575439,-0.807983,509
15713065,9986,-0.068726,0.575317,-0.805786,509
15723086,10021,-0.070312,0.573853,-0.807373,505
15733064,9978,-0.071533,0.574829,-0.808472,503
15743088,10024,-0.071411,0.580688,-0.813843,510
15753059,9971,-0.071289,0.579102,-0.811890,511
15763067,10008,-0.072021,0.579590,-0.809937,511
15773060,9993,-0.073608,0.580200,-0.808960,507
15783064,10004,-0.073486,0.579224,-0.808594,512
15793072,10008,-0.075439,0.576416,-0.802246,512
