t_us,dt_us,ax,ay,az,ppg
19608582,10017,-0.324585,-0.722290,0.628784,536
19618590,10008,-0.324219,-0.722900,0.627930,541
19628587,9997,-0.323120,-0.722168,0.627319,544
19638589,10002,-0.323486,-0.720947,0.627075,544
19648588,9999,-0.322876,-0.720093,0.626587,548
19658592,10004,-0.323730,-0.721313,0.628052,543
19668586,9994,-0.324585,-0.719727,0.629395,565
19678569,9983,-0.323486,-0.719849,0.629761,548
19688579,10010,-0.323730,-0.720947,0.630249,546
19698565,9986,-0.322998,-0.721802,0.629395,540
19708565,10000,-0.323608,-0.723145,0.626099,541
19718572,10007,-0.323730,-0.723877,0.628418,535
19728588,10016,-0.323730,-0.722412,0.626465,539
19738574,9986,-0.324097,-0.722778,0.627686,531
19748586,10012,-0.322632,-0.723145,0.627319,530
19758573,9987,-0.321533,-0.721680,0.625366,529
19768575,10002,-0.320435,-0.721680,0.625610,521
19778580,10005,-0.323975,-0.723999,0.628174,523
19788569,9989,-0.326294,-0.723267,0.627686,517
19798576,10007,-0.324829,-0.719971,0.625488,520
19808588,10012,-0.321533,-0.720581,0.624756,516
19818591,10003,-0.320923,-0.722656,0.629883,520
19828613,10022,-0.321777,-0.723633,0.629761,514
19838594,9981,-0.325073,-0.721924,0.627930,516
19848583,9989,-0.325073,-0.720337,0.627686,515
19858583,10000,-0.323975,-0.719482,0.626343,514
19868565,9982,-0.322388,-0.725342,0.628906,511
19878585,10020,-0.323608,-0.723022,0.627808,514
19888588,10003,-0.324219,-0.719482,0.625488,511
19898571,9983,-0.323120,-0.718140,0.624634,515
19908588,10017,-0.322754,-0.720581,0.625854,514
19918573,9985,-0.323975,-0.723999,0.628052,516
19928575,10002,-0.324463,-0.722900,0.626465,506
19938568,9993,-0.322388,-0.719360,0.626465,508
19948572,10004,-0.322876,-0.719360,0.627075,512
19958604,10032,-0.323608,-0.721436,0.627930,512
19968577,9973,-0.322876,-0.723633,0.628174,508
19978593,10016,-0.324219,-0.721802,0.627319,502
19988572,9979,-0.324585,-0.719604,0.626709,508
19998568,9996,-0.323730,-0.721680,0.626465,504
20008570,10002,-0.323364,-0.723633,0.626709,500
20018587,10017,-0.322266,-0.723999,0.627441,505
20028579,9992,-0.324097,-0.720459,0.626221,500
20038580,10001,-0.323364,-0.719604,0.627075,504
20048585,10005,-0.323975,-0.720947,0.627319,503
20058581,9996,-0.323853,-0.722656,0.629028,501
20068589,10008,-0.323730,-0.720825,0.628906,502
20078576,9987,-0.323608,-0.720581,0.629639,502
20088609,10033,-0.324341,-0.721313,0.628052,494
20098595,9986,-0.323853,-0.721436,0.627319,503
20108582,9987,-0.324219,-0.721069,0.628296,499
20118583,10001,-0.323120,-0.723022,0.627563,494
20128573,9990,-0.322021,-0.722168,0.625732,490
20138581,10008,-0.324219,-0.721802,0.626099,498
20148583,10002,-0.324585,-0.723633,0.627197,496
20158568,9985,-0.323120,-0.723877,0.628540,500
20168569,10001,-0.324341,-0.721924,0.626221,495
20178567,9998,-0.323853,-0.721558,0.626587,493
20188568,10001,-0.324585,-0.720825,0.626831,495
20198573,10005,-0.324219,-0.722778,0.627075,495
20208583,10010,-0.323730,-0.722900,0.627808,491
20218571,9988,-0.323975,-0.723389,0.626587,493
20228581,10010,-0.323730,-0.721436,0.625977,496
20238565,9984,-0.323608,-0.720825,0.625732,494
20248566,10001,-0.324219,-0.721924,0.627441,491
20258575,10009,-0.322510,-0.723145,0.627075,489
20268592,10017,-0.323120,-0.721436,0.626343,493
20278566,9974,-0.324219,-0.722900,0.626709,490
20288592,10026,-0.323730,-0.722534,0.626953,491
20298573,9981,-0.323730,-0.722534,0.625854,493
20308590,10017,-0.324097,-0.721680,0.626465,497
20318582,9992,-0.323730,-0.721191,0.627808,497
20328580,9998,-0.323853,-0.721313,0.626953,496
20338578,9998,-0.323853,-0.722534,0.627563,493
20348581,10003,-0.323853,-0.723755,0.627197,500
20358592,10011,-0.323975,-0.723633,0.625854,501
20368594,10002,-0.323608,-0.723511,0.626099,509
20378589,9995,-0.324707,-0.722168,0.626099,508
