t_us,dt_us,ax,ay,az,ppg
37402337,10013,0.933350,-0.332397,0.317627,505
37412353,10016,0.988281,-0.237793,0.327515,520
37422348,9995,1.019897,-0.238281,0.313477,531
37432350,10002,1.033447,-0.301025,0.304321,536
37442347,9997,1.053101,-0.347046,0.321167,544
37452324,9977,1.041504,-0.385864,0.315063,543
37462336,10012,1.023193,-0.400635,0.295898,541
37472347,10011,1.019409,-0.437012,0.282593,541
37482365,10018,0.965576,-0.285156,0.266235,536
37492330,9965,0.937866,-0.262939,0.261719,537
37502341,10011,0.923706,-0.283447,0.266235,533
37512350,10009,0.905762,-0.296387,0.267212,524
37522352,10002,0.886475,-0.291992,0.265747,516
37532347,9995,0.870361,-0.270996,0.258667,510
37542342,9995,0.844849,-0.270630,0.253296,507
37552350,10008,0.838013,-0.263794,0.244629,502
37562372,10022,0.828369,-0.242432,0.237427,502
37572342,9970,0.821045,-0.219604,0.234375,498
37582325,9983,0.821289,-0.215698,0.233643,498
37592335,10010,0.817871,-0.238037,0.245728,492
37602337,10002,0.816284,-0.251953,0.249390,496
37612345,10008,0.812256,-0.255615,0.253052,499
37622351,10006,0.812134,-0.258667,0.259277,496
37632337,9986,0.810181,-0.273315,0.262085,495
37642350,10013,0.806274,-0.284424,0.267212,494
37652343,9993,0.811401,-0.287354,0.270386,496
37662332,9989,0.816772,-0.292603,0.270752,495
37672324,9992,0.812988,-0.300659,0.272095,495
37682345,10021,0.815552,-0.305786,0.275757,500
37692349,10004,0.828613,-0.311523,0.281250,501
37702348,9999,0.834595,-0.313721,0.286499,495
37712348,10000,0.829834,-0.315308,0.286377,503
37722349,10001,0.826416,-0.316162,0.287720,503
37732342,9993,0.821899,-0.315796,0.291626,507
37742354,10012,0.825806,-0.316162,0.309082,508
37752344,9990,0.879028,-0.335449,0.329346,509
37762348,10004,0.951294,-0.356812,0.339478,511
37772344,9996,1.011475,-0.377441,0.339722,518
37782324,9980,1.056763,-0.398193,0.353760,515
