t_us,dt_us,ax,ay,az,ppg
11640890,10021,0.366821,-0.535522,0.757446,512
11650894,10004,0.366821,-0.536011,0.757812,514
11660897,10003,0.366821,-0.536621,0.756104,508
11670891,9994,0.366089,-0.539429,0.750732,511
11680869,9978,0.367676,-0.542480,0.749512,511
11690894,10025,0.367188,-0.545166,0.751099,510
11700885,9991,0.369019,-0.548584,0.751709,510
11710880,9995,0.369751,-0.551147,0.751831,510
11720886,10006,0.367798,-0.551514,0.748901,503
11730897,10011,0.366211,-0.550049,0.746948,506
11740872,9975,0.363770,-0.550903,0.749634,506
11750895,10023,0.362671,-0.552246,0.748657,498
11760889,9994,0.359619,-0.553101,0.750977,507
11770871,9982,0.357422,-0.553223,0.751587,506
11780898,10027,0.352783,-0.551392,0.748413,505
11790887,9989,0.351929,-0.550171,0.747681,502
11800879,9992,0.352783,-0.549316,0.748047,494
11810897,10018,0.354736,-0.548828,0.748047,495
11820880,9983,0.353516,-0.550537,0.748169,498
11830887,10007,0.354004,-0.548462,0.751587,496
11840869,9982,0.354980,-0.540894,0.751587,507
11850872,10003,0.355957,-0.538696,0.750977,508
11860876,10004,0.356445,-0.538940,0.750122,507
11870898,10022,0.355469,-0.537109,0.750366,513
11880871,9973,0.354248,-0.536865,0.750854,519
11890881,10010,0.356445,-0.538208,0.747192,521
11900906,10025,0.357666,-0.539795,0.742554,530
11910896,9990,0.358643,-0.541382,0.738037,535
11920884,9988,0.360962,-0.544312,0.738159,536
11930879,9995,0.362427,-0.545898,0.736816,531
11940881,10002,0.364624,-0.544434,0.741089,530
11950882,10001,0.366699,-0.541992,0.739380,534
11960881,9999,0.368774,-0.541016,0.737915,532
11970890,10009,0.367676,-0.539795,0.736328,532
11980892,10002,0.366699,-0.537476,0.736084,527
11990887,9995,0.363525,-0.535645,0.735107,518
12000871,9984,0.358154,-0.530640,0.724854,522
12010894,10023,0.355591,-0.531250,0.721191,518
12020880,9986,0.355469,-0.529785,0.714966,516
12030885,10005,0.354492,-0.526489,0.708984,513
12040878,9993,0.355225,-0.521851,0.702026,509
12050876,9998,0.353516,-0.502563,0.684326,506
12060869,9993,0.351929,-0.484131,0.686890,501
12070891,10022,0.362427,-0.492310,0.687256,503
12080911,10020,0.376709,-0.541016,0.700928,498
12090881,9970,0.395874,-0.564941,0.712769,496
12100891,10010,0.411011,-0.562988,0.714600,487
12110898,10007,0.426025,-0.522095,0.702515,496
12120894,9996,0.427979,-0.515137,0.694214,492
12130895,10001,0.429687,-0.517212,0.691528,496
12140875,9980,0.433960,-0.530029,0.691772,499
12150892,10017,0.436157,-0.548584,0.691895,500
12160898,10006,0.436646,-0.571411,0.711914,501
12170885,9987,0.445312,-0.567627,0.716553,502
12180891,10006,0.446655,-0.554932,0.714844,502
12190872,9981,0.442627,-0.541016,0.708008,495
12200876,10004,0.441284,-0.530518,0.702515,499
12210896,10020,0.438477,-0.523560,0.693237,507
12220894,9998,0.433594,-0.514526,0.689941,509
12230884,9990,0.432129,-0.513428,0.691406,503
12240892,10008,0.435669,-0.512451,0.693604,510
12250880,9988,0.441772,-0.512451,0.695923,503
12260877,9997,0.448242,-0.514282,0.696533,498
12270882,10005,0.461548,-0.513184,0.691772,506
12280895,10013,0.467773,-0.507080,0.684814,502
12290871,9976,0.470825,-0.501587,0.686890,495
12300890,10019,0.479370,-0.500488,0.696167,495
12310895,10005,0.493408,-0.498779,0.702637,498
12320894,9999,0.503418,-0.499023,0.703613,496
12330898,10004,0.523071,-0.497314,0.699951,496
12340869,9971,0.529419,-0.491089,0.693604,493
12350879,10010,0.532593,-0.486450,0.696167,489
12360877,9998,0.540405,-0.484497,0.697144,499
12370891,10014,0.549805,-0.485596,0.698242,499
12380869,9978,0.554077,-0.483154,0.688232,501
12390898,10029,0.554932,-0.480835,0.681885,505
12400881,9983,0.555054,-0.477051,0.680420,508
12410881,10000,0.556152,-0.472046,0.677612,511
12420898,10017,0.558228,-0.473267,0.677856,513
12430891,9993,0.561768,-0.476318,0.679077,516
12440874,9983,0.569946,-0.478271,0.692139,518
12450897,10023,0.588745,-0.477173,0.695801,528
12460884,9987,0.603882,-0.465454,0.682007,531
12470876,9992,0.596313,-0.454468,0.666382,537
12482560,11684,0.602051,-0.452271,0.657104,542
12490894,8334,0.601807,-0.454712,0.661011,538
12500890,9996,0.606812,-0.456421,0.663452,538
12510875,9985,0.610840,-0.456543,0.662964,544
12520875,10000,0.611450,-0.452637,0.658691,539
12530893,10018,0.614258,-0.447144,0.649658,534
12540881,9988,0.622803,-0.427612,0.636475,535
12550881,10000,0.634521,-0.424438,0.643066,534
12560880,9999,0.657837,-0.421143,0.638306,528
12570885,10005,0.668213,-0.416138,0.629639,522
12580893,10008,0.672363,-0.419922,0.623779,524
12590892,9999,0.680054,-0.437012,0.630249,524
12600898,10006,0.685669,-0.461548,0.655029,522
12610896,9998,0.688477,-0.470459,0.661865,520
12620869,9973,0.683105,-0.475342,0.665527,520
12630883,10014,0.682617,-0.478516,0.657104,511
12640888,10005,0.677490,-0.476807,0.647583,512
12662467,21579,0.666992,-0.446655,0.559448,507
12667673,5206,0.000000,0.000000,0.000000,506
12671671,3998,0.654419,-0.421021,0.549072,504
12680886,9215,0.646240,-0.392944,0.562866,499
12690920,10034,0.644165,-0.380127,0.590210,499
12700881,9961,0.649170,-0.421875,0.668579,509
12710886,10005,0.679443,-0.449341,0.688354,509
12720889,10003,0.701172,-0.466309,0.677246,507
12730873,9984,0.707153,-0.466064,0.654297,502
12740883,10010,0.703003,-0.463501,0.638062,499
12750887,10004,0.702148,-0.455566,0.627686,489
12760879,9992,0.708740,-0.417847,0.603149,484
12770891,10012,0.707031,-0.401367,0.602905,482
12780871,9980,0.712646,-0.395142,0.596313,482
12790880,10009,0.713745,-0.398560,0.591553,473
12800890,10010,0.711182,-0.403687,0.597778,473
12810869,9979,0.744263,-0.394653,0.606812,471
12820875,10006,0.717041,-0.385376,0.601074,459
12830914,10039,0.713257,-0.378540,0.590942,462
12840898,9984,0.711670,-0.373657,0.571045,459
12850870,9972,0.713135,-0.370972,0.557739,454
12860895,10025,0.710937,-0.371338,0.554565,454
12870881,9986,0.730957,-0.385254,0.570557,448
12880882,10001,0.743652,-0.391357,0.585205,444
12890896,10014,0.760254,-0.395874,0.593384,446
12900887,9991,0.767944,-0.397949,0.592041,452
12910886,9999,0.769409,-0.398193,0.583252,453
12920873,9987,0.767090,-0.391602,0.563110,455
12930881,10008,0.765625,-0.381714,0.552368,458
12940897,10016,0.761597,-0.368896,0.541260,459
