t_us,dt_us,ax,ay,az,ppg
23965785,10015,0.325317,-0.258545,-0.927979,513
23975798,10013,0.324097,-0.260620,-0.930786,513
23985773,9975,0.321899,-0.260010,-0.934326,516
23995785,10012,0.322388,-0.257690,-0.936768,516
24005794,10009,0.321655,-0.257324,-0.932495,514
24015790,9996,0.321899,-0.265015,-0.926270,510
24025775,9985,0.324585,-0.270996,-0.926270,510
24035793,10018,0.325439,-0.270630,-0.924438,509
24045772,9979,0.326538,-0.270386,-0.923462,507
24055772,10000,0.328247,-0.268311,-0.923828,513
24065789,10017,0.327637,-0.261963,-0.926147,510
24075774,9985,0.325684,-0.260986,-0.929687,510
24085788,10014,0.322632,-0.260986,-0.932983,509
24095796,10008,0.320313,-0.260132,-0.934937,513
24105793,9997,0.318726,-0.258179,-0.940186,519
24115775,9982,0.315674,-0.251831,-0.937134,514
24125798,10023,0.316040,-0.248535,-0.936035,513
24135789,9991,0.318481,-0.241821,-0.934082,511
24145796,10007,0.321655,-0.242798,-0.932739,513
24155790,9994,0.326050,-0.244995,-0.933228,514
24165820,10030,0.330811,-0.246094,-0.932983,512
24175796,9976,0.334839,-0.247070,-0.925781,514
24185787,9991,0.334839,-0.248535,-0.922119,513
24195789,10002,0.333740,-0.250000,-0.921997,506
24205774,9985,0.333130,-0.253418,-0.923706,514
24215790,10016,0.332397,-0.255859,-0.927368,516
24225792,10002,0.328735,-0.257080,-0.930420,514
24235799,10007,0.327881,-0.258911,-0.932495,507
24245775,9976,0.325806,-0.256836,-0.933228,514
24255781,10006,0.325195,-0.253906,-0.931030,512
24265781,10000,0.325317,-0.253784,-0.931885,511
24275783,10002,0.326294,-0.253906,-0.933594,515
24285785,10002,0.325928,-0.255615,-0.932739,514
24295772,9987,0.325806,-0.257690,-0.932129,511
24305782,10010,0.325317,-0.255859,-0.929077,512
24315787,10005,0.324951,-0.252441,-0.926147,513
24325798,10011,0.327393,-0.247559,-0.925171,511
24335776,9978,0.328979,-0.250854,-0.930908,512
24345790,10014,0.328857,-0.249023,-0.929321,510
24355784,9994,0.325684,-0.245483,-0.927612,512
24365796,10012,0.324585,-0.246338,-0.926392,508
24375799,10003,0.323608,-0.247925,-0.925537,505
24385779,9980,0.324341,-0.250732,-0.930908,512
24395791,10012,0.327637,-0.255005,-0.940430,511
24405794,10003,0.325684,-0.250000,-0.936279,513
24419264,13470,0.325562,-0.241821,-0.928467,505
24425798,6534,0.000000,0.000000,0.000000,511
24435782,9984,0.327759,-0.246704,-0.933716,506
24445794,10012,0.326904,-0.248169,-0.933716,514
24455779,9985,0.328979,-0.248657,-0.933228,513
24465790,10011,0.328613,-0.249146,-0.929810,513
24475815,10025,0.328125,-0.246704,-0.927002,514
24485777,9962,0.327393,-0.245361,-0.926147,513
24495774,9997,0.328735,-0.245972,-0.927124,510
24505771,9997,0.328613,-0.247803,-0.930298,511
24515775,10004,0.328735,-0.250244,-0.930664,513
24525797,10022,0.324951,-0.248169,-0.928467,510
24535785,9988,0.323853,-0.248047,-0.929565,513
24545793,10008,0.323120,-0.251221,-0.935303,516
24555797,10004,0.324341,-0.251831,-0.934814,516
24565799,10002,0.325073,-0.253296,-0.934204,513
24575786,9987,0.325928,-0.250610,-0.931519,511
24585793,10007,0.326172,-0.249146,-0.930298,516
24595785,9992,0.327637,-0.246826,-0.928101,516
24605796,10011,0.328857,-0.248291,-0.926880,516
24615787,9991,0.329346,-0.250854,-0.930542,514
24625770,9983,0.329102,-0.250488,-0.930786,510
24635784,10014,0.328003,-0.248901,-0.931274,515
24645786,10002,0.325439,-0.246826,-0.931885,515
24655775,9989,0.324829,-0.239502,-0.930786,514
24665796,10021,0.323975,-0.239502,-0.932373,515
24675791,9995,0.325439,-0.241821,-0.932129,516
24685781,9990,0.327026,-0.244263,-0.933472,514
24695797,10016,0.328491,-0.243896,-0.932617,509
24705770,9973,0.328979,-0.247803,-0.932861,508
24715772,10002,0.327271,-0.249756,-0.931519,515
24725771,9999,0.327271,-0.249390,-0.930786,513
24735783,10012,0.326416,-0.246216,-0.932251,515
24745794,10011,0.325317,-0.242676,-0.929687,513
24755798,10004,0.327637,-0.243652,-0.930054,516
24765797,9999,0.327515,-0.244141,-0.930786,511
24775783,9986,0.328979,-0.246216,-0.933716,507
24785775,9992,0.328979,-0.245483,-0.930786,511
24795793,10018,0.328369,-0.242920,-0.933228,509
24805792,9999,0.327759,-0.242676,-0.931519,515
24815770,9978,0.326050,-0.243774,-0.932373,508
24825799,10029,0.325439,-0.243896,-0.931763,507
24835792,9993,0.325562,-0.244263,-0.932617,507
24845796,10004,0.325439,-0.242798,-0.930908,514
24855776,9980,0.328247,-0.242432,-0.930786,513
24865770,9994,0.329102,-0.242920,-0.929565,509
24875799,10029,0.329712,-0.244507,-0.928223,513
24885784,9985,0.329102,-0.248779,-0.929565,514
24895780,9996,0.327637,-0.250244,-0.931641,516
24905795,10015,0.325439,-0.249756,-0.932373,515
24915791,9996,0.324707,-0.247559,-0.932129,511
24925771,9980,0.326172,-0.248901,-0.934692,515
24935775,10004,0.325195,-0.245972,-0.935669,507
24945791,10016,0.325928,-0.243774,-0.933472,514
24955778,9987,0.326294,-0.243286,-0.930298,508
24965774,9996,0.327271,-0.245850,-0.931885,515
24975774,10000,0.327881,-0.246094,-0.933350,514
24985774,10000,0.327637,-0.244507,-0.932861,507
24995794,10020,0.328369,-0.242798,-0.929565,513
25005797,10003,0.326904,-0.241577,-0.928955,514
25015782,9985,0.328125,-0.241577,-0.927246,512
25025773,9991,0.328003,-0.239868,-0.930176,513
25035781,10008,0.328247,-0.241943,-0.930786,506
25045795,10014,0.328247,-0.243652,-0.930176,513
25055785,9990,0.328125,-0.247192,-0.929810,507
25065771,9986,0.326294,-0.247681,-0.931519,513
25075790,10019,0.325439,-0.245117,-0.934082,513
25085797,10007,0.325195,-0.241699,-0.932495,507
25095772,9975,0.326050,-0.239868,-0.929687,512
25105775,10003,0.326416,-0.241333,-0.931152,514
25115817,10042,0.328613,-0.243652,-0.931152,509
25125790,9973,0.329346,-0.245972,-0.931152,508
25135784,9994,0.331665,-0.249756,-0.927124,505
25145781,9997,0.329834,-0.248413,-0.929687,509
25155796,10015,0.326538,-0.246704,-0.930420,514
25165793,9997,0.324585,-0.243896,-0.930420,513
25175786,9993,0.323486,-0.242310,-0.930542,513
25185785,9999,0.325439,-0.244141,-0.930542,507
25195793,10008,0.326660,-0.246948,-0.933838,507
25205783,9990,0.327026,-0.248047,-0.934448,513
25215787,10004,0.325073,-0.246948,-0.933105,516
25225794,10007,0.323975,-0.247681,-0.931519,517
25235794,10000,0.325928,-0.246216,-0.932495,509
25245775,9981,0.327393,-0.245117,-0.933594,511
25255780,10005,0.328125,-0.244629,-0.931885,511
