t_us,dt_us,ax,ay,az,ppg
8874185,10021,-0.102905,0.460815,0.851685,511
8884174,9989,-0.103638,0.458252,0.853394,517
8894178,10004,-0.103638,0.457520,0.856689,520
8904194,10016,-0.104126,0.458496,0.855469,519
8914177,9983,-0.103882,0.457642,0.855957,522
8924175,9998,-0.103882,0.455933,0.855957,524
8934180,10005,-0.104858,0.455566,0.857666,523
8944169,9989,-0.104492,0.453979,0.858276,524
8954184,10015,-0.106689,0.456787,0.857056,524
8964185,10001,-0.105957,0.459229,0.857910,526
8974185,10000,-0.106812,0.460693,0.857666,523
8984168,9983,-0.106323,0.463379,0.856445,523
8994175,10007,-0.105591,0.463013,0.855591,520
9004180,10005,-0.105713,0.459717,0.848877,517
9014193,10013,-0.107544,0.459351,0.850220,520
9024197,10004,-0.106323,0.457886,0.853394,519
9034189,9992,-0.106079,0.458740,0.852539,515
9044183,9994,-0.106323,0.461304,0.852051,518
9054179,9996,-0.107178,0.461914,0.852051,512
9064170,9991,-0.106689,0.460693,0.852051,516
9074185,10015,-0.104370,0.458252,0.851074,509
9084191,10006,-0.104614,0.456299,0.851196,511
9094186,9995,-0.104980,0.454712,0.852905,509
9104187,10001,-0.104736,0.453247,0.852295,512
9114168,9981,-0.104370,0.456543,0.852539,508
9124175,10007,-0.105957,0.458740,0.853638,510
9134180,10005,-0.104370,0.461304,0.853394,507
9144199,10019,-0.103638,0.462158,0.852417,507
9154172,9973,-0.104980,0.460571,0.851685,511
9164175,10003,-0.104614,0.458374,0.853027,511
9174193,10018,-0.104736,0.457031,0.852295,513
9184186,9993,-0.104736,0.459839,0.852661,511
9194188,10002,-0.105225,0.462158,0.851562,514
9204176,9988,-0.107056,0.464355,0.851440,512
9214167,9991,-0.106201,0.464478,0.851562,512
9224168,10001,-0.106567,0.460815,0.850098,512
9234168,10000,-0.106445,0.459106,0.849976,512
9244190,10022,-0.107178,0.457886,0.850952,511
9254173,9983,-0.108276,0.457153,0.851685,513
9264174,10001,-0.108643,0.459717,0.852783,512
9274191,10017,-0.109131,0.461792,0.852783,511
9284193,10002,-0.109253,0.463379,0.852295,507
9294187,9994,-0.108398,0.460205,0.852905,509
9304165,9978,-0.108765,0.457153,0.852295,512
9314172,10007,-0.108643,0.454956,0.852783,510
9324173,10001,-0.110474,0.452881,0.853394,509
9334173,10000,-0.111084,0.456421,0.855103,511
