t_us,dt_us,ax,ay,az,ppg
143485380,10020,0.132080,0.625854,0.724243,524
143495385,10005,0.131592,0.625854,0.725952,516
143505379,9994,0.130737,0.625488,0.724976,520
143515360,9981,0.132202,0.627930,0.724243,516
143525367,10007,0.131958,0.626953,0.724121,511
143535384,10017,0.132080,0.626465,0.724243,514
143545360,9976,0.131592,0.626831,0.725342,512
143555386,10026,0.131836,0.626831,0.724854,504
143565368,9982,0.132568,0.625122,0.725098,509
143575387,10019,0.132324,0.624268,0.726074,511
143585374,9987,0.133179,0.625244,0.726074,509
143595371,9997,0.131104,0.626099,0.728516,507
143605369,9998,0.132324,0.625244,0.727539,509
143615389,10020,0.130859,0.625732,0.725708,506
143625370,9981,0.131958,0.625610,0.725464,502
143635381,10011,0.132324,0.624634,0.724731,506
143645404,10023,0.130737,0.625488,0.724976,505
143655377,9973,0.132080,0.624756,0.724731,498
143665375,9998,0.132202,0.627563,0.724365,501
143675383,10008,0.130859,0.626953,0.725586,505
143685368,9985,0.132324,0.625977,0.725830,502
143695370,10002,0.132446,0.627808,0.725708,503
143705381,10011,0.130859,0.625732,0.725586,507
143715389,10008,0.130859,0.626221,0.725952,507
143725376,9987,0.131226,0.627441,0.723633,508
143735361,9985,0.132324,0.626099,0.724121,500
143745364,10003,0.132690,0.625488,0.724976,506
143755363,9999,0.132080,0.625610,0.726440,509
143765366,10003,0.132324,0.626099,0.726685,503
143775362,9996,0.132935,0.627930,0.725098,504
143785381,10019,0.131470,0.626343,0.724121,509
143795389,10008,0.131104,0.626831,0.724609,505
143805390,10001,0.132568,0.625977,0.725098,515
143815363,9973,0.132935,0.626343,0.725342,518
143825372,10009,0.132080,0.626709,0.727051,518
143835364,9992,0.133545,0.626709,0.724487,526
143845362,9998,0.132812,0.627686,0.725342,528
143855386,10024,0.132202,0.627075,0.724731,537
143865381,9995,0.130005,0.626953,0.724243,540
143875367,9986,0.130859,0.627686,0.723877,549
143885362,9995,0.130737,0.627197,0.723999,550
143895378,10016,0.130981,0.626709,0.724976,554
143905369,9991,0.131592,0.627075,0.723999,552
143915417,10048,0.132446,0.628174,0.724243,557
143925386,9969,0.132324,0.626587,0.723999,551
143935372,9986,0.132202,0.627563,0.725586,555
143945379,10007,0.132568,0.627563,0.724243,550
143955373,9994,0.131836,0.627075,0.724609,554
143965377,10004,0.131104,0.628418,0.725342,551
143975380,10003,0.130249,0.628906,0.725098,550
143985386,10006,0.131348,0.626831,0.722412,549
143995378,9992,0.130493,0.627197,0.723267,542
144005368,9990,0.132080,0.628174,0.724731,547
144015388,10020,0.132812,0.628418,0.725098,546
144025369,9981,0.132568,0.628296,0.725708,544
144035388,10019,0.131592,0.627686,0.725220,540
144045369,9981,0.130859,0.627563,0.724731,537
144055384,10015,0.131226,0.628052,0.723145,530
144065383,9999,0.130615,0.629639,0.723267,532
144075369,9986,0.131226,0.629028,0.723633,527
144085412,10043,0.130371,0.629150,0.723755,530
144095377,9965,0.131470,0.629028,0.723633,527
144105376,9999,0.131104,0.627563,0.723511,528
144115372,9996,0.130981,0.627563,0.723755,523
144125372,10000,0.130981,0.627563,0.723389,518
144135367,9995,0.131348,0.628052,0.723511,522
144145389,10022,0.130127,0.629395,0.722900,515
144155375,9986,0.130493,0.629028,0.723389,515
144165372,9997,0.130005,0.628296,0.721802,520
144175368,9996,0.130127,0.628662,0.724487,519
144185373,10005,0.130981,0.629150,0.724487,519
144195385,10012,0.131958,0.628906,0.724121,520
144205389,10004,0.131592,0.629028,0.723511,519
144215379,9990,0.131714,0.628296,0.723511,518
144225381,10002,0.130859,0.629150,0.723511,518
144235389,10008,0.131104,0.629761,0.724243,517
144245383,9994,0.130371,0.629150,0.724487,510
144255386,10003,0.130371,0.629395,0.723389,516
144265363,9977,0.130859,0.629150,0.723145,515
144275373,10010,0.130127,0.626709,0.722900,515
144285361,9988,0.129395,0.628540,0.723389,507
144295380,10019,0.131714,0.628174,0.723877,513
144305384,10004,0.132080,0.629150,0.724243,513
144315364,9980,0.131226,0.629517,0.724609,504
144325375,10011,0.131104,0.629028,0.723145,512
144335389,10014,0.129395,0.627930,0.723389,512
144345386,9997,0.130859,0.627075,0.723389,507
144355381,9995,0.130615,0.629028,0.724609,513
144365361,9980,0.131836,0.629639,0.725098,511
144375381,10020,0.131836,0.628052,0.721924,509
144385367,9986,0.130615,0.626221,0.722778,511
144395371,10004,0.129883,0.627930,0.723877,511
144405361,9990,0.131226,0.628174,0.723389,507
144415364,10003,0.131348,0.629395,0.724976,508
144425367,10003,0.132080,0.630493,0.724365,508
144435364,9997,0.130859,0.627808,0.722412,499
144445375,10011,0.129272,0.626709,0.721436,506
144455361,9986,0.130249,0.626221,0.723022,508
144465369,10008,0.129150,0.627930,0.724487,506
144475393,10024,0.130493,0.629761,0.724609,500
144485373,9980,0.130859,0.629028,0.722656,507
144495389,10016,0.130371,0.626587,0.723022,508
144505362,9973,0.130371,0.625610,0.723755,508
144515382,10020,0.131470,0.626709,0.725342,503
144525364,9982,0.130981,0.626465,0.726807,507
144535375,10011,0.131348,0.629028,0.725952,508
144545378,10003,0.130981,0.629272,0.722534,510
144555371,9993,0.129761,0.628174,0.722046,507
144565378,10007,0.129639,0.627808,0.723633,514
144575378,10000,0.130737,0.629150,0.724854,522
144585360,9982,0.130981,0.628784,0.723999,527
144595369,10009,0.131592,0.627563,0.724365,528
144605360,9991,0.130737,0.627197,0.723267,537
144615374,10014,0.131348,0.627319,0.724365,539
144625368,9994,0.129028,0.628662,0.725098,552
144635386,10018,0.130005,0.627808,0.725464,551
144645381,9995,0.129395,0.628052,0.723145,560
144655382,10001,0.130737,0.629272,0.722534,560
144665363,9981,0.130737,0.627319,0.723145,561
144675368,10005,0.129883,0.627319,0.724243,562
144690149,14781,0.131592,0.628784,0.725952,562
144695643,5494,0.000000,0.000000,0.000000,561
144705374,9731,0.130249,0.629517,0.722656,560
144715389,10015,0.130615,0.627808,0.721680,560
144725378,9989,0.130127,0.630127,0.723389,559
144735379,10001,0.129883,0.631104,0.723633,549
144745379,10000,0.130493,0.631226,0.723877,554
144755360,9981,0.130127,0.629761,0.721558,549
144765367,10007,0.130005,0.629761,0.721802,547
144778530,13163,0.129517,0.628540,0.722290,550
144789901,11371,0.130493,0.628540,0.723877,534
144796941,7040,0.000000,0.000000,0.000000,529
144805384,8443,0.131348,0.629761,0.723389,536
144815361,9977,0.130859,0.630371,0.721802,529
144825386,10025,0.129883,0.629883,0.722046,529
144835381,9995,0.129517,0.629517,0.722778,526
144845368,9987,0.128052,0.628662,0.723389,524
144855388,10020,0.129883,0.629150,0.724243,524
144865361,9973,0.129272,0.629883,0.723267,517
144875373,10012,0.130615,0.629028,0.723022,515
144885374,10001,0.129883,0.629028,0.723267,518
144895384,10010,0.130615,0.629761,0.723633,519
144905376,9992,0.129395,0.629639,0.723633,512
144915382,10006,0.130249,0.629883,0.723267,519
144925385,10003,0.129761,0.629639,0.722412,520
144935405,10020,0.130737,0.628418,0.722046,510
144945361,9956,0.129150,0.629272,0.723389,509
144955375,10014,0.129639,0.629517,0.723999,513
144965367,9992,0.130127,0.630859,0.724365,513
144975369,10002,0.131348,0.631104,0.723022,512
144985376,10007,0.129883,0.629761,0.722290,511
144998820,13444,0.129150,0.627563,0.720703,510
145005360,6540,0.128906,0.627808,0.721313,510
145015380,10020,0.129272,0.630005,0.723877,510
145025369,9989,0.130615,0.631592,0.724121,509
145035362,9993,0.130859,0.629395,0.722046,504
145045366,10004,0.130493,0.629639,0.720825,502
145055363,9997,0.129761,0.628906,0.722168,508
145065371,10008,0.129028,0.629517,0.723267,502
145075377,10006,0.129395,0.629761,0.725220,507
145085369,9992,0.130493,0.631470,0.721191,509
145095383,10014,0.130371,0.630737,0.723022,509
145105401,10018,0.129150,0.630249,0.723145,508
145115364,9963,0.128662,0.629883,0.722900,508
145125362,9998,0.129272,0.628784,0.721924,504
145135379,10017,0.130737,0.628906,0.723511,501
145145369,9990,0.131836,0.630737,0.723877,505
145155369,10000,0.130737,0.630249,0.723145,505
145165363,9994,0.131592,0.629883,0.723511,507
145175371,10008,0.130127,0.630127,0.723877,505
145185376,10005,0.131104,0.630371,0.721924,506
145195369,9993,0.129639,0.629272,0.722534,504
145205363,9994,0.129517,0.628662,0.722290,504
145215384,10021,0.128906,0.628906,0.723022,502
145225385,10001,0.128906,0.628540,0.723145,506
145235380,9995,0.130981,0.628662,0.723145,506
145245369,9989,0.133667,0.629028,0.723633,498
145255383,10014,0.131226,0.629639,0.722900,504
145265371,9988,0.128418,0.629395,0.720703,499
145275369,9998,0.130249,0.629517,0.723999,496
145285365,9996,0.130005,0.629517,0.723999,502
145295378,10013,0.131104,0.630127,0.723145,503
145305375,9997,0.129150,0.630615,0.723022,497
145315363,9988,0.130981,0.630249,0.723633,498
145325403,10040,0.129272,0.627563,0.723145,501
145335377,9974,0.130737,0.625244,0.723877,498
145345363,9986,0.130249,0.627075,0.725830,502
145355380,10017,0.129395,0.631348,0.723633,502
