t_us,dt_us,ax,ay,az,ppg
14695365,10022,-0.178345,-0.315552,0.921265,515
14705355,9990,-0.180176,-0.318115,0.925293,507
14715345,9990,-0.177368,-0.326660,0.927002,514
14725344,9999,-0.175049,-0.328979,0.926025,515
14735366,10022,-0.174438,-0.325073,0.921631,514
14745356,9990,-0.175171,-0.320190,0.919922,513
14755366,10010,-0.176758,-0.318726,0.920654,516
14765366,10000,-0.180298,-0.320679,0.923706,514
14775372,10006,-0.179077,-0.323364,0.924316,510
14785388,10016,-0.178711,-0.324951,0.923706,515
14795347,9959,-0.176880,-0.323975,0.921509,513
14805362,10015,-0.176514,-0.322266,0.921509,507
14815344,9982,-0.176025,-0.321289,0.920288,515
14825356,10012,-0.176147,-0.319702,0.921387,513
14835356,10000,-0.176636,-0.319824,0.923828,514
14845354,9998,-0.177490,-0.324463,0.925659,516
14855349,9995,-0.175659,-0.326660,0.925171,515
14865356,10007,-0.177490,-0.326294,0.926147,514
14875344,9988,-0.174438,-0.323364,0.927490,513
14885372,10028,-0.175903,-0.324463,0.927002,513
14895354,9982,-0.176880,-0.321167,0.924316,510
14905370,10016,-0.177124,-0.318604,0.921875,513
14915343,9973,-0.177246,-0.316650,0.921387,511
14925367,10024,-0.175903,-0.319824,0.919922,516
14935367,10000,-0.176514,-0.322144,0.920410,509
14945366,9999,-0.177246,-0.324951,0.923096,514
14955347,9981,-0.178223,-0.328491,0.924683,514
14965349,10002,-0.179687,-0.330200,0.925415,512
14975367,10018,-0.180664,-0.328125,0.924805,512
14985393,10026,-0.177368,-0.318848,0.920288,514
14995364,9971,-0.175049,-0.318115,0.918945,507
15005367,10003,-0.172852,-0.318115,0.919678,509
15015355,9988,-0.173950,-0.318726,0.920410,514
15025354,9999,-0.174316,-0.319214,0.921875,510
15035357,10003,-0.177490,-0.323853,0.927124,515
15045359,10002,-0.178467,-0.325806,0.927856,508
15055370,10011,-0.179932,-0.327271,0.928589,512
15065369,9999,-0.179321,-0.328247,0.927734,515
15075352,9983,-0.178345,-0.328979,0.925293,514
15085370,10018,-0.177246,-0.325439,0.922363,513
15095361,9991,-0.176758,-0.316528,0.918213,511
15105345,9984,-0.176147,-0.314941,0.917725,510
15115351,10006,-0.175659,-0.318726,0.918701,513
15125353,10002,-0.177246,-0.322021,0.920776,516
15135370,10017,-0.177734,-0.323853,0.923218,517
15145363,9993,-0.177124,-0.324951,0.927734,515
15155345,9982,-0.177246,-0.324341,0.925537,516
15165369,10024,-0.177612,-0.323730,0.923706,509
15175369,10000,-0.176147,-0.322388,0.922241,512
15185350,9981,-0.178223,-0.320557,0.919434,519
15195351,10001,-0.176270,-0.319946,0.921631,518
15205366,10015,-0.178467,-0.322998,0.921509,517
15215372,10006,-0.176270,-0.324707,0.921387,513
15225361,9989,-0.177368,-0.321899,0.921265,518
15235362,10001,-0.177856,-0.317627,0.924072,516
15245361,9999,-0.178955,-0.318726,0.926392,515
15255345,9984,-0.176025,-0.329590,0.923950,508
15265364,10019,-0.177124,-0.325439,0.922485,517
15275343,9979,-0.174927,-0.322632,0.921997,516
15285353,10010,-0.176880,-0.320557,0.923218,517
15295360,10007,-0.176636,-0.320801,0.924194,511
15305363,10003,-0.177734,-0.319092,0.920776,514
15315360,9997,-0.176147,-0.319824,0.921509,508
15325352,9992,-0.175049,-0.321533,0.922729,514
15335354,10002,-0.175903,-0.324219,0.925415,516
15345371,10017,-0.178467,-0.327148,0.925049,515
15355361,9990,-0.179565,-0.326416,0.926392,514
15365360,9999,-0.177490,-0.323608,0.926636,516
15375371,10011,-0.175537,-0.325195,0.923584,506
15387531,12160,-0.177002,-0.322266,0.920044,514
15395367,7836,-0.177002,-0.316040,0.917969,513
15405362,9995,-0.177124,-0.313354,0.919189,505
15415347,9985,-0.174194,-0.324463,0.923462,516
15425366,10019,-0.177368,-0.325806,0.922241,516
15435365,9999,-0.177490,-0.323975,0.924316,513
15445367,10002,-0.178955,-0.322510,0.927246,510
15455355,9988,-0.179565,-0.324707,0.926636,515
15465352,9997,-0.178101,-0.325928,0.926636,516
15475371,10019,-0.175293,-0.323242,0.921387,516
15485367,9996,-0.174805,-0.320679,0.919189,516
15495383,10016,-0.174927,-0.318115,0.920044,509
15505355,9972,-0.176025,-0.317627,0.922241,514
15515372,10017,-0.177124,-0.317749,0.922485,506
15525346,9974,-0.179321,-0.324951,0.926636,516
15535357,10011,-0.177002,-0.328491,0.923584,514
15545360,10003,-0.175659,-0.328003,0.922485,514
15555353,9993,-0.178467,-0.323242,0.922485,514
15565346,9993,-0.177490,-0.319214,0.923462,503
15575370,10024,-0.177368,-0.323364,0.922363,512
15585366,9996,-0.176147,-0.323364,0.921997,513
15595367,10001,-0.176025,-0.322021,0.922607,510
15605355,9988,-0.176636,-0.320068,0.922363,513
15615360,10005,-0.177246,-0.319458,0.923950,505
15625348,9988,-0.178955,-0.319214,0.926270,514
15635352,10004,-0.180176,-0.324585,0.927002,506
15645383,10031,-0.177856,-0.328979,0.924805,513
15655400,10017,-0.177612,-0.328003,0.921875,510
15665370,9970,-0.176392,-0.323120,0.919067,515
15675361,9991,-0.177246,-0.320313,0.915649,510
