t_us,dt_us,ax,ay,az,gx,gy,gz,mx,my,mz,ppg,condition
25387399,10028,-0.063721,-1.017212,0.060547,1.831055,-0.488281,3.601074,19.921875,-12.670898,82.580566,488,static
25404419,17020,-0.063965,-1.018066,0.060425,2.01416,-0.671387,3.845215,19.787598,-12.915039,82.849121,496,static
25421023,16604,-0.063843,-1.018433,0.060669,2.075195,-0.610352,3.78418,0.0,0.0,0.0,504,static
25436340,15317,-0.064087,-1.017944,0.061768,2.075195,-0.671387,3.662109,0.0,0.0,0.0,502,static
25451726,15386,-0.063232,-1.018555,0.062012,2.01416,-0.671387,3.662109,18.994141,-12.597656,83.300781,507,static
25467662,15936,-0.06311,-1.018066,0.061646,2.13623,-0.671387,3.845215,0.0,0.0,0.0,505,static
25482921,15259,-0.064087,-1.017578,0.060425,2.258301,-0.671387,3.90625,0.0,0.0,0.0,501,static
25498419,15498,-0.064453,-1.016724,0.059692,2.197266,-0.610352,3.967285,0.0,0.0,0.0,496,static
25513497,15078,-0.063965,-1.018433,0.060547,2.258301,-0.671387,4.089355,19.213867,-12.353516,82.006836,491,static
25530244,16747,-0.063721,-1.017944,0.060669,2.197266,-0.610352,3.967285,0.0,0.0,0.0,484,static
25545050,14806,-0.06311,-1.017456,0.061157,2.075195,-0.549316,3.845215,0.0,0.0,0.0,480,static
25560040,14990,-0.063721,-1.017822,0.060913,2.197266,-0.671387,3.90625,19.421387,-12.414551,82.93457,470,static
25576548,16508,-0.063354,-1.016968,0.060303,2.13623,-0.732422,3.967285,0.0,0.0,0.0,464,static
25591489,14941,-0.063721,-1.018311,0.060913,2.075195,-0.610352,3.723145,0.0,0.0,0.0,466,static
25606324,14835,-0.062866,-1.017578,0.031372,2.258301,-0.671387,3.723145,19.384766,-12.548828,83.337402,457,static
25622920,16596,-0.063354,-1.017944,0.060913,2.319336,-0.671387,3.723145,0.0,0.0,0.0,456,static
25638163,15243,-0.062134,-1.017944,0.060425,2.258301,-0.671387,3.845215,0.0,0.0,0.0,450,static
25653789,15626,-0.063599,-1.018066,0.060059,2.197266,-0.488281,3.845215,19.213867,-12.695313,82.592773,454,static
25669792,16003,-0.0625,-1.017334,0.060547,2.13623,-0.671387,3.601074,0.0,0.0,0.0,451,static
25685219,15427,-0.06311,-1.017822,0.060303,2.258301,-0.732422,3.662109,0.0,0.0,0.0,453,static
25700615,15396,-0.0625,-1.018311,0.060181,2.197266,-0.671387,3.723145,19.140625,-12.426758,82.470703,454,static
25716942,16327,-0.064087,-1.017822,0.060547,2.258301,-0.793457,3.662109,0.0,0.0,0.0,455,static
25733743,16801,-0.064331,-1.017212,0.061279,2.197266,-0.610352,3.78418,0.0,0.0,0.0,463,static
