t_us,dt_us,ax,ay,az,gx,gy,gz,mx,my,mz,ppg,condition
22597846,10029,0.042236,-1.005615,0.134888,2.380371,-0.732422,4.638672,26.904297,33.483887,0.939941,498,static
22615749,17903,0.041016,-1.011719,0.135742,2.075195,-0.854492,4.638672,0.000000,0.000000,0.000000,515,static
22632675,16926,0.039185,-1.008911,0.135376,2.380371,-0.915527,4.943848,0.000000,0.000000,0.000000,530,static
22648607,15932,0.038696,-1.008667,0.134155,2.441406,-0.976562,4.882812,26.940918,33.959961,1.074219,537,static
22665010,16403,0.041504,-1.006226,0.133545,2.380371,-1.220703,4.943848,0.000000,0.000000,0.000000,552,static
22680588,15578,0.042969,-1.007568,0.135864,2.502441,-1.098633,4.821777,0.000000,0.000000,0.000000,562,static
22696054,15466,0.044312,-1.008911,0.136353,2.685547,-1.220703,4.760742,0.000000,0.000000,0.000000,565,static
22711594,15540,0.045410,-1.006714,0.136108,2.380371,-1.037598,4.699707,26.696777,34.375000,-0.964355,559,static
22729463,17869,0.046387,-1.006226,0.135864,2.197266,-1.159668,4.943848,0.000000,0.000000,0.000000,548,static
22744941,15478,0.044556,-1.006104,0.137085,2.258301,-1.098633,5.004883,0.000000,0.000000,0.000000,542,static
22760767,15826,0.044189,-1.006714,0.136475,2.075195,-1.159668,5.004883,26.672363,34.204102,-0.939941,529,static
22776733,15966,0.044189,-1.007690,0.138306,2.441406,-1.098633,4.821777,0.000000,0.000000,0.000000,513,static
22791605,14872,0.043579,-1.009155,0.137695,2.502441,-1.220703,4.821777,0.000000,0.000000,0.000000,506,static
22807129,15524,0.041870,-1.007690,0.139160,2.929688,-1.037598,4.821777,26.550293,34.875488,-0.134277,497,static
22823737,16608,0.041504,-1.006104,0.137939,2.990723,-1.037598,4.882812,0.000000,0.000000,0.000000,483,static
22838960,15223,0.040405,-1.007813,0.137451,2.807617,-0.976562,4.821777,0.000000,0.000000,0.000000,484,static
22856143,17183,0.039917,-1.009155,0.136230,2.563477,-0.976562,4.882812,26.782227,35.253906,0.158691,482,static
22872427,16284,0.038086,-1.009277,0.135376,2.685547,-0.610352,5.065918,0.000000,0.000000,0.000000,483,static
22887512,15085,0.037964,-1.009155,0.133545,3.051758,-0.732422,5.126953,0.000000,0.000000,0.000000,487,static
22901153,13641,0.038452,-1.009399,0.132568,3.173828,-0.732422,5.126953,27.319336,35.437012,0.378418,487,static
22916611,15458,0.039551,-1.010620,0.133667,3.356934,-0.610352,5.065918,0.000000,0.000000,0.000000,494,static
22931428,14817,0.040283,-1.008423,0.133789,2.990723,-0.610352,5.126953,0.000000,0.000000,0.000000,497,static
22946929,15501,0.041016,-1.008789,0.133423,2.624512,-0.732422,5.187988,27.331543,35.876465,0.915527,502,static
22963777,16848,0.040161,-1.008301,0.132080,2.197266,-0.671387,5.187988,0.000000,0.000000,0.000000,504,static
22978451,14674,0.042725,-1.008301,0.132812,2.197266,-0.549316,5.065918,0.000000,0.000000,0.000000,505,static
22993369,14918,0.043213,-1.007935,0.134155,2.075195,-0.488281,4.882812,0.000000,0.000000,0.000000,507,static
23008988,15619,0.042847,-1.008057,0.134766,1.892090,-0.610352,4.760742,27.221680,36.047363,0.305176,507,static
23024497,15509,0.043579,-1.007813,0.135010,2.319336,-0.732422,4.882812,0.000000,0.000000,0.000000,506,static
23039681,15184,0.042969,-1.008789,0.133789,2.685547,-0.671387,4.882812,0.000000,0.000000,0.000000,504,static
23054791,15110,0.043457,-1.008423,0.134399,2.685547,-0.549316,4.943848,26.818848,36.376953,-0.170898,501,static
23070411,15620,0.043213,-1.008789,0.134399,2.441406,-0.793457,4.821777,0.000000,0.000000,0.000000,498,static
23085566,15155,0.040894,-1.007935,0.132935,2.441406,-0.854492,5.004883,0.000000,0.000000,0.000000,498,static
23099853,14287,0.039917,-1.007935,0.132935,2.441406,-0.732422,5.004883,26.806641,37.097168,0.500488,488,static
23116025,16172,0.040161,-1.007080,0.133911,1.892090,-0.793457,5.187988,0.000000,0.000000,0.000000,493,static
23131363,15338,0.040405,-1.007080,0.134155,1.586914,-0.610352,5.004883,0.000000,0.000000,0.000000,489,static
23146611,15248,0.040649,-1.008789,0.135254,1.342773,-0.549316,4.821777,27.050781,37.170410,1.416016,499,static
23162913,16302,0.039307,-1.010864,0.135254,1.708984,-0.671387,4.882812,0.000000,0.000000,0.000000,500,static
23177954,15041,0.039307,-1.011475,0.134521,2.319336,-0.732422,5.004883,0.000000,0.000000,0.000000,506,static
23193131,15177,0.038086,-1.009277,0.134644,2.197266,-0.793457,4.821777,27.172852,37.731934,0.781250,520,static
23209279,16148,0.037476,-1.008057,0.133545,2.563477,-0.793457,5.126953,0.000000,0.000000,0.000000,534,static
23224864,15585,0.039063,-1.007324,0.131958,2.502441,-0.732422,5.249023,0.000000,0.000000,0.000000,549,static
23240515,15651,0.041626,-1.005737,0.131958,2.197266,-0.793457,5.065918,0.000000,0.000000,0.000000,559,static
23256215,15700,0.042847,-1.005981,0.133179,1.892090,-0.915527,4.821777,26.354980,37.438965,1.196289,564,static
