t_us,dt_us,ax,ay,az,ppg
20626737,10043,0.333618,-0.621460,-0.736694,514
20636715,9978,0.334595,-0.623169,-0.739502,510
20646709,9994,0.334106,-0.622192,-0.743286,511
20656704,9995,0.335083,-0.620972,-0.743774,510
20666716,10012,0.334473,-0.621826,-0.741943,511
20676695,9979,0.335693,-0.621826,-0.739014,511
20686704,10009,0.335327,-0.621826,-0.736694,511
20696704,10000,0.335815,-0.622070,-0.735596,517
20706708,10004,0.335449,-0.622681,-0.735474,515
20716700,9992,0.334106,-0.623047,-0.734985,511
20726703,10003,0.333862,-0.623413,-0.735474,510
20736720,10017,0.333130,-0.624023,-0.734253,516
20746713,9993,0.330933,-0.625000,-0.734741,513
20756695,9982,0.328979,-0.626953,-0.737915,512
20766708,10013,0.328735,-0.627319,-0.738403,510
20776715,10007,0.327759,-0.629028,-0.739380,513
20786699,9984,0.328613,-0.630371,-0.738770,509
20796718,10019,0.327148,-0.632202,-0.739014,512
20806694,9976,0.327148,-0.630493,-0.738770,507
20816702,10008,0.325806,-0.631348,-0.738770,512
20826712,10010,0.325317,-0.631348,-0.737061,509
20836716,10004,0.325317,-0.630615,-0.739014,510
20846708,9992,0.326050,-0.632446,-0.738892,511
20856715,10007,0.326782,-0.631348,-0.736816,507
20866723,10008,0.326172,-0.628662,-0.737793,505
20876695,9972,0.326172,-0.627197,-0.737549,510
20886709,10014,0.327026,-0.626343,-0.738403,506
20896724,10015,0.327393,-0.626099,-0.738770,507
20906696,9972,0.328247,-0.626099,-0.737183,511
20916698,10002,0.327515,-0.625977,-0.737671,509
20926706,10008,0.327881,-0.625244,-0.738281,512
20936718,10012,0.328125,-0.626465,-0.738159,511
20946706,9988,0.329468,-0.627075,-0.737549,512
20956701,9995,0.329346,-0.628174,-0.739380,507
20966699,9998,0.329102,-0.627197,-0.739502,511
20976711,10012,0.329834,-0.626343,-0.739136,513
20986718,10007,0.331543,-0.626343,-0.738525,509
20996717,9999,0.331177,-0.627075,-0.737183,510
21006706,9989,0.331543,-0.626831,-0.737305,506
21016697,9991,0.331543,-0.625977,-0.735229,511
21026699,10002,0.330811,-0.625488,-0.735962,513
21036697,9998,0.330322,-0.625366,-0.737793,509
21046720,10023,0.331299,-0.626343,-0.740356,506
21056699,9979,0.331055,-0.627075,-0.742310,511
21066701,10002,0.332397,-0.626953,-0.742065,506
21076707,10006,0.330444,-0.626343,-0.739380,509
21086723,10016,0.329468,-0.624878,-0.737793,511
21096709,9986,0.329712,-0.623657,-0.736572,512
21106705,9996,0.330078,-0.623901,-0.737183,509
21116701,9996,0.330566,-0.623779,-0.737793,503
21126714,10013,0.330322,-0.624390,-0.738037,502
21136702,9988,0.330078,-0.626709,-0.738770,511
21146702,10000,0.329468,-0.627441,-0.739624,511
21156697,9995,0.328247,-0.628540,-0.740112,508
21166696,9999,0.326538,-0.628906,-0.741455,512
21176712,10016,0.323364,-0.629028,-0.741211,505
21186702,9990,0.322266,-0.631226,-0.741089,507
21196723,10021,0.322144,-0.628784,-0.739258,514
21206713,9990,0.323486,-0.626831,-0.740479,512
21216709,9996,0.324341,-0.626099,-0.740112,511
21226717,10008,0.326294,-0.625122,-0.739136,510
21236694,9977,0.329834,-0.624878,-0.738525,514
21246710,10016,0.331299,-0.623779,-0.736938,517
21256715,10005,0.332886,-0.621704,-0.738281,515
21266714,9999,0.334473,-0.621826,-0.738770,510
21276720,10006,0.334839,-0.621826,-0.739502,517
21286731,10011,0.336670,-0.621826,-0.740356,513
21296694,9963,0.335693,-0.623047,-0.741577,516
21306701,10007,0.335815,-0.623047,-0.740967,518
21316722,10021,0.334351,-0.623413,-0.739136,517
21326700,9978,0.333008,-0.624146,-0.738037,513
21336699,9999,0.331177,-0.624146,-0.736938,514
21346715,10016,0.327759,-0.626221,-0.738770,513
21356707,9992,0.327759,-0.626709,-0.739868,513
21366697,9990,0.326416,-0.626831,-0.739014,512
21376714,10017,0.327393,-0.626587,-0.739990,513
21386701,9987,0.327515,-0.627686,-0.740356,508
21396715,10014,0.325439,-0.627075,-0.740845,512
21406709,9994,0.325195,-0.627930,-0.742432,511
21416720,10011,0.324951,-0.630005,-0.740967,513
21426715,9995,0.324951,-0.629517,-0.739258,511
21436694,9979,0.325317,-0.628662,-0.738403,513
21446705,10011,0.326782,-0.628052,-0.737671,508
21456699,9994,0.328125,-0.627319,-0.737671,510
21466699,10000,0.328247,-0.625732,-0.737183,507
21476712,10013,0.328247,-0.624146,-0.738159,509
21486696,9984,0.329468,-0.623901,-0.737061,511
21496714,10018,0.328735,-0.623047,-0.738037,511
