t_us,dt_us,ax,ay,az,ppg
12174924,10022,0.123535,-0.171753,0.970215,507
12184916,9992,0.124390,-0.170776,0.963745,514
12194907,9991,0.122559,-0.171997,0.964600,513
12204927,10020,0.125610,-0.170776,0.967407,508
12214931,10004,0.125000,-0.171753,0.968994,512
12224909,9978,0.125000,-0.175537,0.969727,514
12234904,9995,0.124512,-0.176147,0.971313,511
12244905,10001,0.123413,-0.174316,0.971436,514
12254923,10018,0.122192,-0.173584,0.971924,514
12264902,9979,0.129028,-0.171875,0.970703,508
12274911,10009,0.126953,-0.170776,0.966064,508
12284916,10005,0.127930,-0.171265,0.962769,514
12294931,10015,0.130005,-0.167725,0.959351,514
12304902,9971,0.132812,-0.166016,0.958130,511
12314915,10013,0.138428,-0.171997,0.955933,513
12324929,10014,0.140991,-0.175415,0.958130,512
12334909,9980,0.146118,-0.179077,0.956909,515
12344921,10012,0.150146,-0.183350,0.953979,516
12354916,9995,0.152710,-0.191040,0.953857,516
12364915,9999,0.154541,-0.190796,0.957397,515
12374902,9987,0.153076,-0.186035,0.959106,513
12384916,10014,0.151367,-0.181519,0.961426,514
12394907,9991,0.147217,-0.181396,0.960205,511
12404905,9998,0.145264,-0.177979,0.959961,514
12414910,10005,0.140259,-0.173462,0.959106,514
12424916,10006,0.137939,-0.174927,0.959351,514
12434923,10007,0.134766,-0.176636,0.957764,514
12444917,9994,0.133545,-0.177002,0.956055,515
12454909,9992,0.135010,-0.181152,0.952637,515
12464922,10013,0.132202,-0.181763,0.953857,510
12474918,9996,0.132202,-0.182739,0.960083,512
12484952,10034,0.133423,-0.188599,0.964722,512
12494919,9967,0.131958,-0.199463,0.970703,512
12504917,9998,0.127319,-0.197388,0.979492,512
12514911,9994,0.132324,-0.195801,0.982544,513
12524906,9995,0.131836,-0.197754,0.981079,510
12534931,10025,0.133911,-0.193237,0.974487,512
12544922,9991,0.134277,-0.188110,0.969116,512
12554908,9986,0.135864,-0.181030,0.960571,511
12564916,10008,0.137451,-0.176636,0.953369,512
12574922,10006,0.136963,-0.172729,0.956665,512
12584909,9987,0.135986,-0.166504,0.956665,507
12594929,10020,0.133789,-0.164185,0.961914,507
12604919,9990,0.132812,-0.164673,0.966431,514
12614912,9993,0.135986,-0.165161,0.968872,509
12624923,10011,0.135864,-0.164429,0.983154,511
12634914,9991,0.144775,-0.178101,0.991333,512
12644920,10006,0.140015,-0.192627,0.986816,517
12654927,10007,0.140869,-0.201538,0.978271,516
12664930,10003,0.142456,-0.209229,0.968506,515
12674902,9972,0.140259,-0.214355,0.957520,516
12684927,10025,0.139038,-0.213745,0.949829,509
12694924,9997,0.134766,-0.195923,0.940063,518
12704921,9997,0.130859,-0.187988,0.938721,515
12714914,9993,0.127563,-0.183350,0.936401,511
12724924,10010,0.124146,-0.182861,0.934448,514
12734931,10007,0.121094,-0.185181,0.930664,515
12744923,9992,0.115234,-0.181641,0.934814,513
12754927,10004,0.115234,-0.181030,0.941162,509
12764930,10003,0.113403,-0.183105,0.944580,512
12774903,9973,0.108887,-0.185303,0.949707,512
12784909,10006,0.106812,-0.187378,0.952637,512
12794912,10003,0.105469,-0.190430,0.960937,510
12804909,9997,0.105225,-0.196655,0.965210,509
12814917,10008,0.104004,-0.200928,0.968872,505
12824945,10028,0.103271,-0.201904,0.972168,509
12834928,9983,0.105469,-0.206177,0.977173,511
12844926,9998,0.110352,-0.205444,0.976929,511
12854907,9981,0.108765,-0.213379,0.959106,511
12864955,10048,0.117310,-0.207764,0.953491,512
12874937,9982,0.120361,-0.209595,0.942749,516
12884910,9973,0.116577,-0.211060,0.937500,512
12894914,10004,0.120728,-0.208252,0.940063,516
12904918,10004,0.123535,-0.198364,0.948242,518
12914928,10010,0.124512,-0.192017,0.956787,514
12924926,9998,0.125854,-0.184692,0.959595,517
12934928,10002,0.126831,-0.181763,0.968018,520
12944908,9980,0.129272,-0.185303,0.975952,518
12954928,10020,0.129761,-0.184692,0.979248,519
12964924,9996,0.126221,-0.189697,0.985962,515
12974904,9980,0.122559,-0.189575,0.992554,511
12984930,10026,0.123291,-0.185059,1.000732,515
12994929,9999,0.127563,-0.187256,1.006836,516
13004934,10005,0.129395,-0.197632,1.019531,510
13014913,9979,0.138306,-0.234497,1.034302,517
13024931,10018,0.136353,-0.251953,1.033325,511
13034928,9997,0.131714,-0.257446,1.030640,517
13044928,10000,0.126221,-0.247559,1.018677,520
13054940,10012,0.120728,-0.238647,1.001831,521
13064902,9962,0.111328,-0.227783,0.993408,521
13074913,10011,0.107178,-0.210205,0.962280,515
13084923,10010,0.103149,-0.212646,0.947632,523
13094919,9996,0.092773,-0.211670,0.945312,518
13104903,9984,0.084229,-0.212646,0.950195,522
13114920,10017,0.085205,-0.214355,0.950806,524
13124909,9989,0.075928,-0.237549,0.942749,516
13134907,9998,0.083252,-0.246582,0.940552,522
13144920,10013,0.086060,-0.249756,0.926270,521
13154914,9994,0.077393,-0.250977,0.911621,520
13164910,9996,0.057861,-0.248291,0.906128,521
13174903,9993,0.050293,-0.237793,0.907715,522
13189622,14719,0.047363,-0.218018,0.909424,520
13194904,5282,0.050537,-0.213257,0.912109,521
13204925,10021,0.058716,-0.210693,0.915894,522
13214924,9999,0.070312,-0.209595,0.918213,520
13224930,10006,0.079102,-0.203613,0.919800,523
13234940,10010,0.088013,-0.178223,0.932861,520
13244908,9968,0.084351,-0.165894,0.951050,513
13254919,10011,0.100342,-0.166382,0.950928,519
13264914,9995,0.100342,-0.167725,0.944458,516
13274909,9995,0.095093,-0.188110,0.935059,514
13284919,10010,0.090820,-0.209717,0.941162,516
13294907,9988,0.086914,-0.208496,0.952393,516
13304909,10002,0.084839,-0.210571,0.959595,512
13314905,9996,0.083984,-0.215942,0.960083,516
13324916,10011,0.082031,-0.221802,0.959106,516
13334928,10012,0.078491,-0.229858,0.949951,515
13344907,9979,0.062744,-0.211426,0.969116,511
13354904,9997,0.067383,-0.212036,0.964111,517
13364915,10011,0.062866,-0.197266,0.982422,517
13374926,10011,0.055908,-0.188477,0.996582,515
13384902,9976,0.058472,-0.191895,0.991455,514
13394930,10028,0.044556,-0.194092,0.973022,512
13404906,9976,0.040405,-0.185913,0.979004,511
13414945,10039,0.035034,-0.168091,0.984131,512
13424919,9974,0.030151,-0.155640,0.991333,512
13434916,9997,0.032104,-0.152588,0.991699,511
13444917,10001,0.031494,-0.157471,0.992065,508
13454907,9990,0.042480,-0.192017,0.993530,503
13464903,9996,0.049561,-0.184692,0.987427,511
13474928,10025,0.055420,-0.173462,0.979858,510
13484918,9990,0.059570,-0.183594,0.987183,512
13494929,10011,0.070068,-0.198730,1.000488,513
13504924,9995,0.070801,-0.213257,0.982910,508
13514903,9979,0.069214,-0.229492,0.979736,515
13524903,10000,0.074707,-0.227539,0.983398,513
13534912,10009,0.067749,-0.227905,0.999268,514
13544948,10036,0.061157,-0.219849,1.002441,509
13554923,9975,0.074951,-0.196167,0.979858,509
13564914,9991,0.092651,-0.170654,0.966431,506
13574908,9994,0.096802,-0.171021,0.967896,512
13584909,10001,0.095459,-0.162964,0.986328,506
13594949,10040,0.098877,-0.154297,1.004028,510
13604904,9955,0.099609,-0.161499,1.015259,512
13614925,10021,0.100464,-0.181030,1.011963,512
13624912,9987,0.098999,-0.187012,1.000977,511
13634922,10010,0.096680,-0.185913,0.993286,507
13644925,10003,0.097290,-0.183716,0.973022,506
13654931,10006,0.090210,-0.176758,0.953613,504
13664905,9974,0.084839,-0.151733,0.912598,496
13674917,10012,0.084717,-0.150024,0.900024,505
13684908,9991,0.085815,-0.155762,0.890747,502
13694923,10015,0.086060,-0.167603,0.891968,501
13704917,9994,0.089600,-0.177124,0.896240,503
13714902,9985,0.095703,-0.184692,0.901978,501
13724924,10022,0.105347,-0.204468,0.903442,503
13734940,10016,0.115234,-0.208496,0.886597,509
13744922,9982,0.090332,-0.197021,0.881104,511
13754921,9999,0.071777,-0.187256,0.963501,512
13764923,10002,0.088257,-0.180420,0.998901,515
13774927,10004,0.095215,-0.249023,1.057251,507
13784927,10000,0.087158,-0.254028,1.053589,511
13794914,9987,0.083984,-0.242676,1.022705,512
13804915,10001,0.074463,-0.223633,0.996460,511
13814929,10014,0.071533,-0.214600,0.978271,512
13824906,9977,0.075562,-0.199829,0.957275,512
13834910,10004,0.075439,-0.197021,0.928101,504
13844924,10014,0.080444,-0.209351,0.924561,512
13854916,9992,0.078247,-0.222046,0.930176,507
13864931,10015,0.080078,-0.229370,0.937256,508
13874914,9983,0.076782,-0.236206,0.948730,509
13884902,9988,0.063477,-0.238037,0.965698,508
13894924,10022,0.054443,-0.230591,0.974121,507
13904921,9997,0.054687,-0.227905,0.971558,503
13914902,9981,0.052246,-0.226074,0.965698,510
13924918,10016,0.048340,-0.218018,0.962280,503
13934921,10003,0.048950,-0.206177,0.962402,504
13944912,9991,0.055542,-0.191895,0.966431,509
13954912,10000,0.054932,-0.193726,0.970703,512
13964939,10027,0.059814,-0.194580,0.976196,512
13974910,9971,0.057007,-0.195312,0.978516,509
13984929,10019,0.056641,-0.193481,0.981567,512
13994921,9992,0.059937,-0.192261,0.980835,512
14004924,10003,0.061523,-0.192627,0.973267,514
14014920,9996,0.070801,-0.202271,0.965210,511
14024908,9988,0.064819,-0.191650,0.955078,514
14034906,9998,0.068481,-0.197144,0.949951,510
14044906,10000,0.069092,-0.200439,0.945557,512
14054917,10011,0.068970,-0.207275,0.945923,511
14064907,9990,0.066528,-0.212646,0.950684,511
14074930,10023,0.063721,-0.219971,0.960693,510
14084906,9976,0.056030,-0.229980,0.973145,505
14104984,20078,0.040161,-0.251709,0.987671,504
14110349,5365,0.000000,0.000000,0.000000,501
14114911,4562,0.034790,-0.255371,0.981812,505
14132069,17158,0.039551,-0.249756,0.967896,503
14137456,5387,0.000000,0.000000,0.000000,499
14144925,7469,0.043335,-0.244751,0.960937,508
14154915,9990,0.048096,-0.243286,0.958862,503
14164906,9991,0.050537,-0.242187,0.958374,507
14175011,10105,0.050781,-0.241943,0.955933,502
14192623,17612,0.048828,-0.228394,0.947510,509
14198094,5471,0.048950,-0.225098,0.948242,511
14204921,6827,0.000000,0.000000,0.000000,512
14214928,10007,0.054932,-0.233765,0.953735,514
14224917,9989,0.057983,-0.246460,0.951904,512
14234906,9989,0.058105,-0.261841,0.958740,510
14244906,10000,0.058472,-0.269531,0.969116,506
14254902,9996,0.059326,-0.272827,0.977661,508
14264906,10004,0.059204,-0.281250,0.975586,511
14274913,10007,0.057251,-0.278198,0.965454,512
14284904,9991,0.057617,-0.274658,0.954102,511
14294916,10012,0.059204,-0.268921,0.944824,511
14304927,10011,0.059082,-0.263184,0.939331,510
14314925,9998,0.058472,-0.257813,0.935425,511
14324921,9996,0.052979,-0.243286,0.944336,508
14334957,10036,0.050537,-0.239014,0.944824,509
14344915,9958,0.047485,-0.226196,0.949951,508
14354912,9997,0.046387,-0.216919,0.955566,507
14364911,9999,0.048462,-0.214844,0.962036,509
14374930,10019,0.053467,-0.234619,0.962158,504
14384910,9980,0.056152,-0.246216,0.962646,508
14394906,9996,0.050537,-0.254517,0.969849,501
14404903,9997,0.035645,-0.241699,0.972046,505
14414928,10025,0.033447,-0.240234,0.978394,505
14424918,9990,0.027954,-0.242920,0.981934,506
14434929,10011,0.023437,-0.234985,0.989380,501
14444916,9987,0.023682,-0.243896,0.989136,498
14454928,10012,0.024048,-0.250610,0.985107,506
14464930,10002,0.023071,-0.248657,0.984009,508
14474914,9984,0.023437,-0.243042,0.982300,501
14484919,10005,0.019897,-0.234253,0.976807,503
14494904,9985,0.018188,-0.225464,0.975830,508
14504916,10012,0.018555,-0.220093,0.971313,510
14514955,10039,0.016724,-0.227051,0.965088,505
14524924,9969,0.009888,-0.240967,0.961792,511
14534902,9978,0.004761,-0.251831,0.969482,513
14544922,10020,-0.002075,-0.268677,0.969727,511
14554916,9994,-0.006714,-0.277954,0.967896,511
14564918,10002,-0.010742,-0.283813,0.963135,512
14574922,10004,-0.015381,-0.289429,0.957642,513
14584917,9995,-0.012207,-0.292847,0.953369,507
14594902,9985,-0.011841,-0.286987,0.943970,515
14604904,10002,-0.014038,-0.281372,0.941040,516
14614927,10023,-0.016235,-0.276611,0.935181,514
14624918,9991,-0.017822,-0.269165,0.931152,516
14634927,10009,-0.016479,-0.259644,0.928467,517
14644929,10002,-0.013306,-0.252075,0.935547,517
14654910,9981,-0.009521,-0.253052,0.942261,516
14664908,9998,-0.006226,-0.249756,0.941284,515
14674918,10010,-0.002319,-0.253662,0.942505,518
14684926,10008,0.001953,-0.250732,0.941772,512
14694919,9993,0.004150,-0.246094,0.945068,514
14704931,10012,0.013550,-0.249023,0.953369,516
14714930,9999,0.015503,-0.247070,0.955200,514
14724925,9995,0.019409,-0.249878,0.962524,512
14734902,9977,0.021240,-0.251953,0.969604,505
14744912,10010,0.023804,-0.254639,0.977295,509
14754904,9992,0.024170,-0.261475,0.987915,507
14764922,10018,0.024292,-0.262573,0.985718,506
14774918,9996,0.025024,-0.265259,0.983032,508
14784917,9999,0.023926,-0.265381,0.979248,507
14794915,9998,0.027344,-0.264526,0.970337,505
14804904,9989,0.025513,-0.260010,0.964355,504
14814925,10021,0.032227,-0.262329,0.949341,508
