t_us,dt_us,ax,ay,az,ppg
11987072,10001,-0.234131,-0.098389,0.962769,532
11997073,10001,-0.233032,-0.098022,0.959839,527
12007099,10026,-0.234253,-0.095947,0.957886,531
12017071,9972,-0.233765,-0.093384,0.956909,531
12027092,10021,-0.233032,-0.091187,0.956543,525
12037075,9983,-0.231812,-0.091064,0.955688,527
12047072,9997,-0.230957,-0.090820,0.954102,529
12057100,10028,-0.231201,-0.093872,0.952759,523
12067079,9979,-0.231079,-0.097168,0.951904,522
12077079,10000,-0.229004,-0.099487,0.953491,514
12087080,10001,-0.226318,-0.100830,0.955444,523
12097107,10027,-0.225830,-0.103882,0.954590,515
12107072,9965,-0.223267,-0.102051,0.955688,520
12117086,10014,-0.223511,-0.100586,0.956055,519
12127091,10005,-0.224976,-0.103027,0.955078,517
12137079,9988,-0.225586,-0.105103,0.953003,516
12147075,9996,-0.225830,-0.106079,0.953369,517
12157074,9999,-0.226685,-0.110962,0.953735,510
12167093,10019,-0.227051,-0.110474,0.954956,515
12177082,9989,-0.228149,-0.108887,0.954102,514
12187099,10017,-0.229004,-0.108643,0.955688,515
12197086,9987,-0.228760,-0.108154,0.955566,517
12207088,10002,-0.230713,-0.102905,0.953491,515
12217095,10007,-0.231445,-0.099731,0.951294,518
12227081,9986,-0.231201,-0.096802,0.951294,514
12237093,10012,-0.231689,-0.095581,0.951050,515
12247074,9981,-0.232178,-0.095947,0.950317,507
12257084,10010,-0.232056,-0.096558,0.954224,509
12267080,9996,-0.231079,-0.097534,0.954468,513
12277082,10002,-0.233643,-0.099487,0.954346,508
12287075,9993,-0.234131,-0.102539,0.953857,508
12297079,10004,-0.233521,-0.105713,0.954834,511
12307083,10004,-0.233887,-0.105469,0.955811,512
12317082,9999,-0.231934,-0.105835,0.958252,510
12327099,10017,-0.230835,-0.106201,0.960083,511
12337088,9989,-0.230835,-0.106689,0.958740,509
12347099,10011,-0.231201,-0.107178,0.959473,510
12357090,9991,-0.229492,-0.104492,0.960205,504
12367093,10003,-0.225830,-0.097412,0.959717,507
12377088,9995,-0.227173,-0.095703,0.957886,501
12387099,10011,-0.226685,-0.095215,0.957397,508
12397076,9977,-0.227173,-0.093506,0.956665,505
12407071,9995,-0.225464,-0.092407,0.957520,503
12417125,10054,-0.225830,-0.092896,0.960205,508
12427097,9972,-0.223755,-0.094116,0.960815,503
12437088,9991,-0.224731,-0.094604,0.957764,504
12447095,10007,-0.226807,-0.094360,0.957642,499
12457087,9992,-0.225708,-0.095093,0.956665,507
12467074,9987,-0.226196,-0.095215,0.957397,506
12477091,10017,-0.227173,-0.095947,0.957764,498
12487082,9991,-0.227661,-0.097168,0.958618,503
12497079,9997,-0.227295,-0.099243,0.960083,502
12507097,10018,-0.225708,-0.098633,0.957153,507
12517071,9974,-0.226196,-0.102051,0.956055,503
12527085,10014,-0.226562,-0.104492,0.954834,510
12537087,10002,-0.227539,-0.107178,0.953857,509
12547083,9996,-0.228027,-0.107056,0.953613,500
12557074,9991,-0.229492,-0.106201,0.952637,508
12567778,10704,-0.230591,-0.107544,0.955322,504
12577116,9338,-0.230469,-0.107910,0.956421,504
12587075,9959,-0.229614,-0.108154,0.954834,505
12597093,10018,-0.226318,-0.106567,0.953491,503
12607090,9997,-0.226685,-0.103516,0.953979,503
12617096,10006,-0.226562,-0.098511,0.953979,503
12627079,9983,-0.225830,-0.095947,0.954834,502
12637073,9994,-0.225708,-0.093872,0.960571,497
12647094,10021,-0.227661,-0.094482,0.960571,503
12657083,9989,-0.227051,-0.093750,0.959351,503
12667086,10003,-0.227173,-0.092896,0.961182,497
12677076,9990,-0.226807,-0.094360,0.961792,503
12687083,10007,-0.226562,-0.095459,0.965820,507
12697097,10014,-0.224365,-0.096069,0.965820,510
12707073,9976,-0.223999,-0.097046,0.965454,516
12717096,10023,-0.221436,-0.096802,0.964966,518
12727078,9982,-0.221558,-0.098633,0.962280,522
12737086,10008,-0.221436,-0.098755,0.961060,524
12747074,9988,-0.221680,-0.098633,0.961182,518
12757073,9999,-0.221436,-0.096436,0.959839,527
12767098,10025,-0.220459,-0.095825,0.961304,526
12777098,10000,-0.220093,-0.096924,0.959839,526
12787081,9983,-0.219727,-0.097900,0.957520,524
12797082,10001,-0.218506,-0.102417,0.956299,522
12807091,10009,-0.218872,-0.101074,0.954956,523
12817099,10008,-0.219604,-0.098633,0.954102,525
12827081,9982,-0.218506,-0.095581,0.952637,523
12837075,9994,-0.221680,-0.094360,0.950317,522
12847076,10001,-0.223389,-0.093872,0.949707,517
12857089,10013,-0.222900,-0.095215,0.950806,517
12867089,10000,-0.223022,-0.092896,0.950684,517
12877095,10006,-0.222656,-0.092651,0.950562,510
12887088,9993,-0.222900,-0.093994,0.950928,516
12897078,9990,-0.221313,-0.097168,0.952148,510
12907079,10001,-0.224487,-0.099976,0.958374,509
12917107,10028,-0.223022,-0.099976,0.962280,507
12927083,9976,-0.223511,-0.100464,0.965088,511
12937077,9994,-0.221069,-0.100708,0.964233,510
12947088,10011,-0.220581,-0.101196,0.963989,509
12957100,10012,-0.220337,-0.100464,0.961548,511
12967073,9973,-0.221802,-0.094727,0.960571,502
