t_us,dt_us,ax,ay,az,ppg
11039870,10022,1.063477,-0.483521,0.454346,524
11049853,9983,1.074829,-0.504517,0.472168,529
11059862,10009,1.065918,-0.529785,0.473267,530
11069854,9992,1.043213,-0.548096,0.464844,527
11079853,9999,1.020630,-0.552856,0.450317,525
11089872,10019,0.992310,-0.547729,0.440308,522
11099851,9979,0.934570,-0.540894,0.428467,521
11109861,10010,0.901611,-0.526611,0.430664,513
11119869,10008,0.881470,-0.507202,0.429687,520
11129866,9997,0.858887,-0.479858,0.429687,513
11139865,9999,0.838745,-0.454712,0.427246,516
11149853,9988,0.825317,-0.437134,0.405884,518
11159853,10000,0.791748,-0.436890,0.394775,520
11169897,10044,0.791626,-0.424072,0.368164,514
11179858,9961,0.798828,-0.417603,0.359619,520
11189870,10012,0.787231,-0.427856,0.341797,516
11199863,9993,0.777466,-0.455078,0.333374,521
11209876,10013,0.778442,-0.479370,0.314209,519
11219861,9985,0.777222,-0.493530,0.313110,522
11229856,9995,0.806030,-0.505127,0.303589,521
11239867,10011,0.808594,-0.521240,0.294678,518
11249866,9999,0.808960,-0.530640,0.284668,515
11259857,9991,0.832520,-0.517578,0.261841,517
11269861,10004,0.965454,-0.505371,0.258423,521
11279849,9988,1.028198,-0.514771,0.264282,518
11289860,10011,1.096680,-0.553101,0.276123,521
11299849,9989,1.131348,-0.590454,0.285278,524
11309854,10005,1.166504,-0.631348,0.300171,524
11319850,9996,1.128174,-0.676392,0.307007,522
11329864,10014,1.066895,-0.680420,0.339478,520
11339848,9984,1.008301,-0.673218,0.375000,520
11349880,10032,0.961792,-0.660645,0.402100,514
11359870,9990,0.937988,-0.644775,0.434326,517
11369874,10004,0.928101,-0.607422,0.495850,513
11379852,9978,0.927856,-0.577515,0.523071,520
11389857,10005,0.929199,-0.538696,0.544189,518
11399868,10011,0.927612,-0.484619,0.563599,520
11409858,9990,0.906494,-0.435425,0.584473,525
11419877,10019,0.903442,-0.421265,0.591553,524
11429857,9980,0.916992,-0.421753,0.605347,528
