t_us,dt_us,ax,ay,az,ppg
13232799,10017,0.893921,-0.058350,0.370483,530
13242784,9985,0.929321,-0.034424,0.371948,529
13252800,10016,0.946411,-0.026001,0.379150,522
13262808,10008,0.966919,-0.022949,0.385864,523
13272783,9975,0.978271,-0.024048,0.390625,519
13282792,10009,0.979614,-0.032104,0.396973,516
13307008,24216,0.982300,-0.089111,0.395142,507
13313060,6052,0.986450,-0.116699,0.388672,504
13318803,5743,0.000000,0.000000,0.000000,500
13323582,4779,0.991333,-0.139160,0.385864,499
13332783,9201,0.989990,-0.153564,0.382080,497
13342785,10002,0.979980,-0.159424,0.379150,493
13352830,10045,0.942993,-0.154297,0.376587,495
13362793,9963,0.923950,-0.146484,0.377930,493
13372793,10000,0.906006,-0.139160,0.380615,498
13382799,10006,0.890625,-0.139404,0.382202,498
13392811,10012,0.881714,-0.142334,0.380005,498
13402805,9994,0.879272,-0.179565,0.368408,506
13412800,9995,0.871826,-0.159912,0.358643,511
13422801,10001,0.871826,-0.160767,0.350830,509
13432787,9986,0.874756,-0.158081,0.343018,503
13442799,10012,0.877441,-0.156128,0.338745,505
13452784,9985,0.884033,-0.156738,0.334229,505
13462785,10001,0.890015,-0.162964,0.331909,494
13472801,10016,0.889526,-0.164551,0.333008,493
13482797,9996,0.884033,-0.164429,0.338135,481
13505561,22764,0.882935,-0.176147,0.344360,474
13510726,5165,0.000000,0.000000,0.000000,473
13514666,3940,0.884033,-0.181030,0.341797,472
13522796,8130,0.880737,-0.180542,0.336914,464
13532829,10033,0.875610,-0.175903,0.334351,467
13542797,9968,0.872925,-0.167358,0.333374,461
13552799,10002,0.871704,-0.155518,0.334595,470
13562792,9993,0.869995,-0.145752,0.338501,472
13572790,9998,0.861450,-0.132202,0.347900,472
13582787,9997,0.858032,-0.131592,0.351318,478
13610373,27586,0.859985,-0.139526,0.347412,473
13617345,6972,0.861694,-0.142700,0.345947,478
13624050,6705,0.862793,-0.144653,0.344727,478
13631479,7429,0.000000,0.000000,0.000000,484
13637824,6345,0.863159,-0.150146,0.343140,482
13644589,6765,0.861084,-0.152588,0.342041,481
13652787,8198,0.856812,-0.155396,0.337646,486
13662808,10021,0.847900,-0.154785,0.334229,487
13672796,9988,0.840820,-0.150757,0.329834,483
13682792,9996,0.839966,-0.136719,0.319824,493
13692806,10014,0.855225,-0.130981,0.313110,495
13710555,17749,0.907837,-0.133057,0.307861,503
13716029,5474,0.000000,0.000000,0.000000,504
13722800,6771,0.933960,-0.130371,0.306763,509
13732804,10004,0.990356,-0.128296,0.309814,516
13742796,9992,1.026001,-0.132324,0.312378,534
13752782,9986,1.064331,-0.135498,0.318604,535
13762811,10029,1.095825,-0.140869,0.323975,539
13772810,9999,1.108887,-0.141846,0.328491,551
13782796,9986,1.097290,-0.140259,0.333374,551
13792809,10013,1.010498,-0.134766,0.330200,558
13802801,9992,0.962402,-0.141479,0.318848,560
13812799,9998,0.914673,-0.150757,0.302856,555
13822806,10007,0.881104,-0.161133,0.286499,560
13832801,9995,0.860474,-0.169922,0.274170,560
13842790,9989,0.867065,-0.182251,0.261475,562
13852803,10013,0.879639,-0.186646,0.261719,553
13862809,10006,0.893799,-0.194336,0.266846,550
13872792,9983,0.908447,-0.205444,0.271729,540
13882823,10031,0.926270,-0.218506,0.277344,540
13892792,9969,0.945679,-0.240112,0.288452,534
13902797,10005,0.995605,-0.245605,0.292236,524
13912793,9996,1.016113,-0.249756,0.295898,521
13945052,32259,1.011719,-0.242187,0.297241,507
13952563,7511,0.000000,0.000000,0.000000,508
13957233,4670,1.000610,-0.233398,0.297852,508
13962671,5438,0.990967,-0.218506,0.297119,504
13968461,5790,0.000000,0.000000,0.000000,510
13972792,4331,0.979614,-0.203857,0.297974,514
13982797,10005,0.972412,-0.191284,0.298950,514
13992803,10006,0.968628,-0.184204,0.302612,520
14002792,9989,0.964722,-0.191650,0.311768,526
14012811,10019,0.955078,-0.201172,0.312012,527
14022789,9978,0.942261,-0.209595,0.309082,528
14032786,9997,0.930176,-0.215820,0.304932,539
14042801,10015,0.917847,-0.219727,0.299683,539
14052802,10001,0.908447,-0.220825,0.295410,541
14062783,9981,0.890015,-0.223877,0.286255,537
14072825,10042,0.882324,-0.228394,0.284668,534
14082811,9986,0.879150,-0.235352,0.278687,532
14092805,9994,0.876587,-0.241333,0.277344,530
14102792,9987,0.878540,-0.247314,0.276489,526
14112783,9991,0.893311,-0.251099,0.269775,516
14122796,10013,0.905029,-0.249878,0.268433,514
14132792,9996,0.919434,-0.249390,0.268921,508
14142785,9993,0.933228,-0.250366,0.268921,501
14152796,10011,0.944214,-0.250732,0.269531,495
14162809,10013,0.951538,-0.254028,0.268555,495
14172789,9980,0.962158,-0.253296,0.266968,494
14182791,10002,0.963989,-0.251465,0.265259,495
14192789,9998,0.964600,-0.252197,0.263306,492
14202790,10001,0.963379,-0.253174,0.264526,496
14212810,10020,0.960327,-0.254883,0.266968,488
14222798,9988,0.950806,-0.249146,0.278931,495
14232792,9994,0.947266,-0.246704,0.286255,501
14242787,9995,0.943604,-0.244751,0.293823,500
14252795,10008,0.934814,-0.243042,0.300537,506
14262811,10016,0.924561,-0.245972,0.302612,506
14276330,13519,0.903442,-0.251953,0.302002,502
14282806,6476,0.895142,-0.253296,0.301025,507
14309929,27123,0.888428,-0.253174,0.311279,502
14315146,5217,0.000000,0.000000,0.000000,498
14319275,4129,0.885986,-0.249878,0.322388,502
14324499,5224,0.882202,-0.248413,0.336060,500
14332790,8291,0.875000,-0.247070,0.350830,499
14342793,10003,0.880371,-0.250610,0.361938,505
14352811,10018,0.904419,-0.257690,0.363159,504
14362807,9996,0.948486,-0.267578,0.359741,511
14372788,9981,1.001465,-0.280762,0.352173,519
14382798,10010,1.081543,-0.281860,0.347534,521
14392794,9996,1.078369,-0.264771,0.354980,523
14409887,17093,0.986206,-0.204834,0.394043,515
14415082,5195,0.000000,0.000000,0.000000,518
14422808,7726,0.934570,-0.185059,0.408813,520
14432786,9978,0.880249,-0.173096,0.422974,515
14442827,10041,0.792603,-0.162842,0.424438,517
14452806,9979,0.785034,-0.154785,0.412476,511
14462782,9976,0.816162,-0.145996,0.404175,514
14472797,10015,0.869019,-0.130981,0.396851,509
14482787,9990,0.932251,-0.116455,0.397339,503
14492793,10006,1.044556,-0.118042,0.414062,496
14502788,9995,1.083374,-0.129150,0.421631,488
14512795,10007,1.102539,-0.140015,0.429565,490
14522799,10004,1.099731,-0.150391,0.437378,484
14532789,9990,1.074341,-0.162476,0.439819,474
14542809,10020,1.046387,-0.169678,0.436279,469
14552809,10000,0.993164,-0.170166,0.434326,470
14562803,9994,0.973267,-0.167603,0.429077,469
14572805,10002,0.955688,-0.163574,0.421509,466
14582783,9978,0.942871,-0.168823,0.409912,474
14592801,10018,0.934570,-0.171143,0.399902,482
14602800,9999,0.913452,-0.151978,0.399048,483
14612811,10011,0.896484,-0.138672,0.412598,492
14622827,10016,0.885010,-0.128418,0.423584,497
14632788,9961,0.880127,-0.126953,0.419067,502
14642807,10019,0.877319,-0.133789,0.407471,508
14652800,9993,0.873047,-0.145264,0.381226,504
14662795,9995,0.866089,-0.158813,0.371826,511
14672795,10000,0.864380,-0.158447,0.364624,502
14682795,10000,0.862793,-0.153198,0.360107,507
14692788,9993,0.865601,-0.146729,0.355469,499
14702808,10020,0.860107,-0.138184,0.352295,497
14712785,9977,0.851685,-0.128540,0.348389,491
