t_us,dt_us,ax,ay,az,ppg
7984181,10022,0.746704,0.442383,0.107178,514
8004490,20309,0.793945,0.448608,0.062744,511
8010060,5570,0.000000,0.000000,0.000000,519
8014615,4555,0.829590,0.452881,0.050903,513
8024176,9561,0.862183,0.457886,0.039185,520
8034165,9989,0.889160,0.457031,0.029175,520
8044164,9999,0.913818,0.452881,0.021729,516
8054168,10004,0.961914,0.445435,0.001221,525
8064174,10006,0.987183,0.445679,-0.006958,528
8074162,9988,1.006470,0.445801,-0.010132,529
8084161,9999,1.026855,0.447144,-0.014771,532
8094166,10005,1.043823,0.452393,-0.021851,533
8104181,10015,1.052368,0.459839,-0.029175,535
8114176,9995,1.056152,0.468750,-0.031982,538
8124187,10011,1.052612,0.462646,-0.030762,538
8134189,10002,1.045410,0.453613,-0.028198,540
8144166,9977,1.036377,0.440552,-0.028076,532
8154170,10004,1.023438,0.427124,-0.024048,542
8164194,10024,1.001709,0.407837,-0.009888,538
8174186,9992,0.993042,0.398560,-0.006836,537
8184164,9978,0.979492,0.391846,-0.001221,536
8194183,10019,0.964600,0.389160,0.017944,529
8204169,9986,0.959839,0.398315,0.029663,532
8214182,10013,0.958984,0.405151,0.031738,532
8224173,9991,0.953125,0.394409,0.032349,532
8234177,10004,0.952881,0.384888,0.034424,529
8244166,9989,0.954346,0.373169,0.040161,527
8254165,9999,0.962891,0.359619,0.047363,522
8264185,10020,0.979736,0.347046,0.067993,519
8274159,9974,1.001709,0.334961,0.139771,522
8284187,10028,1.004517,0.333862,0.146851,524
8294161,9974,0.994141,0.331787,0.145142,525
8304167,10006,0.973389,0.338745,0.138062,526
8314170,10003,0.946899,0.348633,0.136841,528
8324182,10012,0.927734,0.357178,0.136841,528
8334181,9999,0.967896,0.373657,0.129395,531
8344173,9992,1.022949,0.383301,0.129272,528
8354205,10032,1.085571,0.385742,0.138672,531
8364178,9973,1.138794,0.378540,0.153687,524
8374177,9999,1.165161,0.368286,0.168335,535
8384164,9987,1.122803,0.342896,0.187866,528
8394159,9995,1.051514,0.334961,0.186890,525
8404169,10010,0.973999,0.331177,0.185303,533
8414184,10015,0.894409,0.325806,0.182251,532
8424171,9987,0.819336,0.317383,0.180176,528
8434171,10000,0.754272,0.307129,0.185913,526
8444168,9997,0.663818,0.281006,0.193359,523
8454164,9996,0.641602,0.268799,0.200562,520
8464169,10005,0.634399,0.260132,0.205444,515
8474161,9992,0.641968,0.253662,0.207642,513
8484176,10015,0.662598,0.258057,0.218750,506
8494185,10009,0.705078,0.279663,0.198730,508
8504162,9977,0.761108,0.279175,0.189575,506
8514185,10023,0.808472,0.299683,0.192139,501
8524182,9997,0.840210,0.309326,0.200317,498
8534165,9983,0.879639,0.322144,0.207764,496
8544168,10003,0.911865,0.368408,0.198853,497
8554187,10019,0.901001,0.359253,0.185059,506
8564170,9983,0.900757,0.371460,0.175659,510
8574183,10013,0.911133,0.388794,0.172607,514
8584179,9996,0.918091,0.398804,0.169800,518
8594163,9984,0.920288,0.402100,0.166016,516
8604165,10002,0.928101,0.391602,0.162109,514
8614189,10024,0.924683,0.377319,0.165649,522
8624164,9975,0.916016,0.366577,0.165649,519
8634170,10006,0.902832,0.360718,0.161987,522
8644188,10018,0.885864,0.353271,0.155396,521
8654188,10000,0.869141,0.343384,0.144531,519
8664165,9977,0.856445,0.342529,0.145752,517
8674171,10006,0.856934,0.340942,0.154541,511
8684159,9988,0.865234,0.338989,0.167847,514
8694159,10000,0.872925,0.342163,0.176270,511
8704173,10014,0.880005,0.349365,0.175171,502
8714162,9989,0.887085,0.378052,0.162598,506
8724173,10011,0.893799,0.389526,0.159668,501
8734169,9996,0.905640,0.394409,0.156860,497
8744176,10007,0.921021,0.395508,0.157227,506
8754175,9999,0.940063,0.395996,0.159302,500
8764164,9989,0.970093,0.409546,0.159424,502
8774169,10005,0.974609,0.416748,0.155884,499
8784177,10008,0.977661,0.418579,0.152588,501
8794166,9989,0.981445,0.418823,0.151001,499
8804159,9993,0.984741,0.418579,0.149170,497
8814194,10035,0.984863,0.418213,0.148560,498
8824166,9972,0.978394,0.418579,0.149780,497
8834182,10016,0.971924,0.417847,0.150391,497
8844169,9987,0.961670,0.418823,0.150024,490
8854174,10005,0.953247,0.419434,0.148193,497
8864171,9997,0.946167,0.422607,0.147339,499
8874178,10007,0.955566,0.430176,0.138794,496
8884161,9983,0.982422,0.436890,0.136108,492
8894164,10003,1.016113,0.444702,0.137085,501
8904181,10017,1.054077,0.450195,0.144775,502
8914177,9996,1.088379,0.454956,0.153442,504
8924176,9999,1.110596,0.463135,0.161743,506
8934171,9995,1.086060,0.491699,0.169922,505
8944184,10013,1.035278,0.498901,0.166992,507
8954163,9979,0.974121,0.500366,0.159302,515
8964169,10006,0.901489,0.499634,0.147583,512
8974189,10020,0.829834,0.494019,0.137695,519
8984166,9977,0.709595,0.481812,0.118774,516
8994216,10050,0.670532,0.468628,0.112671,526
9004190,9974,0.644165,0.451416,0.107056,528
9014176,9986,0.655273,0.418579,0.097412,522
9026961,12785,0.706177,0.405640,0.096924,530
9034199,7238,0.000000,0.000000,0.000000,529
9044170,9971,0.774292,0.442261,0.083252,521
9054171,10001,0.801514,0.453491,0.069092,524
9064167,9996,0.843750,0.462036,0.056519,529
9074182,10015,0.895508,0.466064,0.047485,529
9084174,9992,0.950317,0.468262,0.043823,523
9094170,9996,1.039307,0.472168,0.027954,532
9104186,10016,1.068359,0.479614,0.023804,533
9114159,9973,1.082153,0.490845,0.020142,537
9124179,10020,1.081665,0.498657,0.017090,543
9134176,9997,1.077271,0.502319,0.011108,547
9144181,10005,1.072021,0.500000,0.004517,547
9154169,9988,1.058228,0.466064,0.002319,554
9164170,10001,1.047729,0.440430,0.007080,550
9174188,10018,1.034180,0.417969,0.012207,554
9184159,9971,1.019287,0.404419,0.012329,555
9194188,10029,1.001831,0.393921,0.011841,550
9204160,9972,0.974731,0.368408,0.013062,551
9214164,10004,0.961426,0.353516,0.023560,548
9224187,10023,0.953491,0.344604,0.029541,544
9234183,9996,0.944458,0.338989,0.033813,543
9244169,9986,0.937744,0.338623,0.036133,539
9254176,10007,0.934937,0.373291,0.035400,535
9264163,9987,0.949341,0.354980,0.040527,534
9274188,10025,0.967651,0.355469,0.045654,525
9284167,9979,0.981934,0.352661,0.051880,521
9294185,10018,0.988770,0.345947,0.055908,526
9304165,9980,0.989624,0.343140,0.064941,525
9314177,10012,0.997559,0.340454,0.086548,524
9324170,9993,0.992065,0.337280,0.090454,524
9334175,10005,0.982544,0.337891,0.095947,518
9344182,10007,0.974976,0.342529,0.093140,526
9354183,10001,0.966797,0.353760,0.086304,521
9364175,9992,0.961670,0.363281,0.096313,525
9374186,10011,0.964844,0.355469,0.112549,521
9384164,9978,0.963257,0.343994,0.130127,519
9394167,10003,0.952515,0.328369,0.146362,516
9404189,10022,0.934326,0.315308,0.155029,512
9414188,9999,0.910889,0.305176,0.157837,515
9424204,10016,0.875854,0.297729,0.157104,516
9434159,9955,0.880005,0.302002,0.156738,508
9444174,10015,0.903442,0.311890,0.152222,513
9454187,10013,0.943359,0.324463,0.146118,513
9464166,9979,0.980225,0.337769,0.140747,512
9474177,10011,1.003418,0.355835,0.141479,509
9484170,9993,1.005371,0.355225,0.149658,508
9494173,10003,0.988525,0.348633,0.156128,512
9504160,9987,0.954712,0.339478,0.158447,514
9514171,10011,0.915161,0.331543,0.159668,512
9524175,10004,0.867432,0.322632,0.162109,510
9534189,10014,0.769165,0.295776,0.170288,518
9544186,9997,0.726562,0.283936,0.168579,514
9554179,9993,0.696655,0.276001,0.169434,518
9564173,9994,0.670776,0.280151,0.166382,525
9574171,9998,0.648315,0.277466,0.164429,526
9584174,10003,0.681152,0.282959,0.160645,515
9594170,9996,0.704468,0.289673,0.161865,525
9604184,10014,0.739136,0.295410,0.162109,522
9614161,9977,0.788574,0.303955,0.161499,515
9624188,10027,0.832031,0.317993,0.161377,520
9634180,9992,0.859497,0.331787,0.159546,519
9644166,9986,0.926147,0.361450,0.156250,520
9654184,10018,0.955322,0.374634,0.158203,518
9664170,9986,0.973022,0.385620,0.159546,521
9674191,10021,0.982666,0.395020,0.160645,523
9684186,9995,0.986206,0.402222,0.159912,526
9694180,9994,0.982178,0.408691,0.158325,528
9704167,9987,0.976440,0.409058,0.159912,522
9714179,10012,0.966431,0.404663,0.160645,534
9724160,9981,0.950928,0.399170,0.160767,536
9734186,10026,0.935303,0.396729,0.158569,534
9744188,10002,0.922241,0.396118,0.154175,536
9754186,9998,0.900269,0.397095,0.148560,536
9764166,9980,0.894653,0.395142,0.148315,533
9774164,9998,0.895264,0.392822,0.150635,534
9784182,10018,0.897705,0.389893,0.157349,532
9794174,9992,0.902466,0.388184,0.171143,523
9804179,10005,0.908569,0.402588,0.176147,530
9814161,9982,0.909546,0.416382,0.170044,526
9824168,10007,0.913086,0.434082,0.166138,525
9834186,10018,0.920532,0.445557,0.165649,522
9844185,9999,0.927368,0.450684,0.168335,518
9854187,10002,0.936279,0.449585,0.169434,520
9864196,10009,0.947632,0.448853,0.172363,514
9874166,9970,0.947998,0.449097,0.170898,518
9884168,10002,0.946533,0.447876,0.167358,516
9894182,10014,0.945801,0.447144,0.164551,512
9904185,10003,0.945435,0.449097,0.159302,506
9914185,10000,0.947021,0.456665,0.155029,505
9924169,9984,0.946411,0.458984,0.154907,510
9934174,10005,0.942017,0.462891,0.156494,514
9944187,10013,0.936279,0.465088,0.155640,515
9954186,9999,0.939209,0.471069,0.150513,510
9964181,9995,0.960815,0.477173,0.135986,517
9974162,9981,1.040283,0.494019,0.135864,520
9984159,9997,1.080688,0.500000,0.143921,521
9994174,10015,1.106567,0.505493,0.151123,521
10004181,10007,1.103638,0.507202,0.155762,519
10014188,10007,1.067749,0.503662,0.156006,523
10024177,9989,0.955933,0.476318,0.135864,522
10034185,10008,0.863892,0.446411,0.127319,525
10044162,9977,0.798706,0.432007,0.128906,516
10054186,10024,0.739746,0.414307,0.121460,527
10064206,10020,0.698486,0.389160,0.111694,527
10074166,9960,0.661499,0.342285,0.087402,533
10084180,10014,0.644653,0.334473,0.073975,529
10094195,10015,0.663696,0.339233,0.067261,537
10104185,9990,0.699341,0.355225,0.062866,538
10114159,9974,0.741821,0.373047,0.062378,531
10124174,10015,0.790283,0.387207,0.052979,535
10134187,10013,0.882690,0.413574,0.021484,527
10144180,9993,0.934082,0.426514,0.009521,530
10154172,9992,0.988892,0.441284,0.000732,528
10164173,10001,1.033447,0.449951,-0.006104,535
10174183,10010,1.071167,0.451416,-0.010986,537
10184184,10001,1.111938,0.438354,-0.018555,542
10194175,9991,1.120605,0.427124,-0.015503,545
10204182,10007,1.125244,0.422607,-0.005981,555
10214184,10002,1.129517,0.423950,0.002075,563
10224186,10002,1.125000,0.426880,0.008667,564
10234182,9996,1.105347,0.424805,0.014282,577
10244172,9990,1.045288,0.402466,0.015259,578
10254164,9992,1.015015,0.382690,0.017212,575
10264166,10002,0.988403,0.363159,0.022827,575
10274185,10019,0.964111,0.349854,0.029541,573
10284182,9997,0.947510,0.334229,0.040771,570
10294163,9981,0.930908,0.316406,0.078003,564
10304162,9999,0.925781,0.320190,0.089600,563
10314184,10022,0.915527,0.328247,0.090576,555
10324163,9979,0.907715,0.336182,0.087402,550
10334188,10025,0.905273,0.341309,0.088013,546
10344176,9988,0.907593,0.343018,0.091064,538
10354162,9986,0.926392,0.348999,0.100708,542
10364178,10016,0.940430,0.350708,0.111694,535
10374172,9994,0.953613,0.349731,0.123291,533
10384172,10000,0.962646,0.349121,0.129883,535
10394166,9994,0.967773,0.349487,0.131348,526
10404171,10005,0.969971,0.355225,0.125122,532
10414184,10013,0.965332,0.356812,0.120972,533
