t_us,dt_us,ax,ay,az,ppg
23694193,10020,-0.413574,0.610474,-0.631226,524
23704176,9983,-0.416138,0.599731,-0.624023,527
23714188,10012,-0.420776,0.614380,-0.624878,540
23724192,10004,-0.417358,0.611694,-0.622192,543
23734189,9997,-0.417603,0.610107,-0.623047,542
23744175,9986,-0.414062,0.616089,-0.622803,550
23754202,10027,-0.410767,0.637329,-0.623535,544
23764184,9982,-0.409912,0.648071,-0.622314,537
23774190,10006,-0.409302,0.658936,-0.618652,542
23784183,9993,-0.410034,0.666382,-0.616943,537
23794188,10005,-0.412720,0.670776,-0.616211,529
23804183,9995,-0.413086,0.670044,-0.616333,526
23814235,10052,-0.413452,0.667725,-0.616455,529
23824206,9971,-0.415405,0.668213,-0.618164,524
23834177,9971,-0.415161,0.664673,-0.619629,525
23844193,10016,-0.416016,0.663696,-0.619873,519
23854195,10002,-0.415894,0.664185,-0.618286,513
23864199,10004,-0.412109,0.661621,-0.621216,520
23874190,9991,-0.412598,0.660889,-0.623047,516
23884176,9986,-0.411499,0.658569,-0.624756,514
23894187,10011,-0.410156,0.656860,-0.625977,512
23904178,9991,-0.408569,0.654175,-0.627075,514
23914189,10011,-0.407227,0.653931,-0.629517,506
23924179,9990,-0.406860,0.652100,-0.632935,510
23934187,10008,-0.406494,0.650269,-0.634644,506
23944180,9993,-0.405273,0.647949,-0.635254,508
23954200,10020,-0.405273,0.644165,-0.636353,507
23964190,9990,-0.406250,0.641113,-0.635986,510
23974200,10010,-0.408691,0.637085,-0.636841,511
23984196,9996,-0.410522,0.636597,-0.636841,512
23994194,9998,-0.410278,0.634766,-0.635986,503
24004185,9991,-0.409668,0.635010,-0.635132,512
24014183,9998,-0.409180,0.634888,-0.635010,502
24024185,10002,-0.407959,0.637085,-0.635254,511
24034200,10015,-0.407593,0.635864,-0.636230,509
24044384,10184,-0.406494,0.635864,-0.635498,503
24054179,9795,-0.406128,0.635254,-0.635376,510
24064191,10012,-0.408813,0.637085,-0.634521,508
24074185,9994,-0.409546,0.637695,-0.635620,508
24084192,10007,-0.411621,0.640625,-0.636719,506
24094177,9985,-0.412109,0.641602,-0.637329,505
24104178,10001,-0.411865,0.641479,-0.636841,503
24114189,10011,-0.411499,0.641357,-0.637207,499
24124403,10214,-0.410767,0.644043,-0.637085,499
24134180,9777,-0.408936,0.642944,-0.639526,492
24144201,10021,-0.409424,0.642212,-0.639771,489
24154195,9994,-0.408936,0.640259,-0.640381,499
24164197,10002,-0.406128,0.639771,-0.640869,487
24174185,9988,-0.406006,0.639282,-0.639771,495
24184184,9999,-0.406006,0.636963,-0.640381,493
24194196,10012,-0.410034,0.637695,-0.642578,486
24204176,9980,-0.411133,0.638672,-0.643188,491
24214176,10000,-0.410156,0.638428,-0.641846,485
24224203,10027,-0.411011,0.640503,-0.640991,492
24234186,9983,-0.409912,0.640137,-0.642090,492
24244195,10009,-0.409424,0.640015,-0.642578,492
24254175,9980,-0.409546,0.639771,-0.640625,488
24264196,10021,-0.411011,0.637817,-0.639282,485
24274186,9990,-0.412476,0.635376,-0.638428,495
24284178,9992,-0.415161,0.632690,-0.636719,497
24294178,10000,-0.415894,0.628906,-0.636597,500
24304193,10015,-0.417725,0.626465,-0.635010,501
24314199,10006,-0.417236,0.626709,-0.634033,503
24324201,10002,-0.417847,0.626587,-0.633667,515
24334175,9974,-0.417114,0.626465,-0.635620,516
24344185,10010,-0.418823,0.626099,-0.635254,527
24354185,10000,-0.417480,0.622559,-0.634766,525
24364179,9994,-0.416504,0.622437,-0.635620,537
24374206,10027,-0.416382,0.623169,-0.637939,540
24384193,9987,-0.416748,0.624756,-0.638184,536
24394175,9982,-0.416748,0.626221,-0.637695,547
24404179,10004,-0.415527,0.627686,-0.637329,542
24414197,10018,-0.414551,0.633179,-0.643799,548
24424174,9977,-0.425293,0.636230,-0.653809,541
24434188,10014,-0.425903,0.631470,-0.651489,547
24444187,9999,-0.413940,0.630737,-0.639282,546
24454174,9987,-0.405029,0.631104,-0.635010,543
24464179,10005,-0.418579,0.633179,-0.645508,542
24474193,10014,-0.419922,0.626343,-0.644653,538
24484186,9993,-0.415527,0.621826,-0.640747,537
24494196,10010,-0.413818,0.620728,-0.640259,529
24504181,9985,-0.414307,0.626587,-0.639160,531
24514179,9998,-0.419922,0.636719,-0.642212,529
24524201,10022,-0.417725,0.639160,-0.638428,520
24534189,9988,-0.412476,0.634277,-0.636108,522
24544189,10000,-0.410156,0.625854,-0.636841,511
24554209,10020,-0.414429,0.624023,-0.641113,516
24564196,9987,-0.421143,0.625244,-0.645264,510
24574186,9990,-0.418335,0.629883,-0.643066,503
