t_us,dt_us,ax,ay,az,ppg
9231440,10024,-0.102173,0.381348,0.893677,512
9241419,9979,-0.100708,0.381104,0.893066,513
9251427,10008,-0.102417,0.380005,0.893799,514
9261430,10003,-0.103394,0.378784,0.894409,513
9271440,10010,-0.104736,0.379272,0.895508,513
9281444,10004,-0.104858,0.379395,0.893555,507
9291438,9994,-0.103027,0.379028,0.892700,511
9301442,10004,-0.101440,0.379761,0.893188,510
9311430,9988,-0.100830,0.381226,0.893066,512
9321432,10002,-0.100830,0.381714,0.893555,513
9331435,10003,-0.102417,0.380371,0.894165,511
9341428,9993,-0.103882,0.377808,0.893555,512
9351445,10017,-0.104126,0.377808,0.894775,511
9361467,10022,-0.103271,0.378906,0.894775,511
9371440,9973,-0.103271,0.378662,0.894653,512
9381425,9985,-0.103027,0.379395,0.893921,524
9391424,9999,-0.101196,0.379761,0.893799,507
9401426,10002,-0.102417,0.379639,0.892822,513
9411444,10018,-0.101685,0.380615,0.895142,512
9421433,9989,-0.102051,0.380615,0.894653,512
9431444,10011,-0.103394,0.379395,0.895142,512
9441423,9979,-0.103271,0.379150,0.895142,508
9451437,10014,-0.102905,0.378906,0.894409,511
9461429,9992,-0.102661,0.378418,0.894165,512
9471437,10008,-0.103394,0.379028,0.894409,508
9481432,9995,-0.102783,0.380005,0.892944,503
9491427,9995,-0.101929,0.379517,0.893677,508
9501422,9995,-0.103516,0.380127,0.894653,511
9511416,9994,-0.102661,0.380981,0.894043,506
9521424,10008,-0.102905,0.380371,0.892822,513
9531426,10002,-0.102417,0.379395,0.893188,510
9541433,10007,-0.103149,0.379272,0.893555,510
9551424,9991,-0.103027,0.379272,0.893799,511
9561420,9996,-0.103882,0.380127,0.893677,511
9571421,10001,-0.105347,0.379761,0.894043,513
9581429,10008,-0.103516,0.380249,0.894653,511
9591434,10005,-0.101929,0.380249,0.893433,511
9601440,10006,-0.102417,0.379517,0.893921,510
9611434,9994,-0.102051,0.378662,0.893677,509
9621417,9983,-0.103271,0.380005,0.894409,512
9631433,10016,-0.102905,0.379761,0.893921,511
9641445,10012,-0.102783,0.379395,0.894897,513
9651422,9977,-0.102417,0.379761,0.895386,511
9661420,9998,-0.102539,0.380127,0.894653,510
9671438,10018,-0.103760,0.379272,0.892578,511
9681430,9992,-0.104126,0.379639,0.894409,509
9691426,9996,-0.103149,0.380005,0.894897,511
9701424,9998,-0.101929,0.380859,0.894775,508
9711445,10021,-0.102173,0.380005,0.895142,509
9721423,9978,-0.102295,0.380127,0.895142,510
9731440,10017,-0.101440,0.379150,0.894897,508
9741460,10020,-0.099976,0.380005,0.893311,511
9751447,9987,-0.102783,0.376343,0.894531,506
9761416,9969,-0.101807,0.376831,0.893555,512
9771439,10023,-0.102051,0.377563,0.894165,506
9781439,10000,-0.102295,0.381104,0.895630,507
9791423,9984,-0.103271,0.380371,0.895508,514
9801436,10013,-0.103027,0.380859,0.894653,514
9811432,9996,-0.103638,0.382080,0.894043,517
9821428,9996,-0.102051,0.380981,0.894775,520
9831431,10003,-0.101074,0.379150,0.892334,520
9841436,10005,-0.101318,0.377686,0.892456,519
9851428,9992,-0.103271,0.376709,0.894653,517
9861443,10015,-0.104004,0.379028,0.894653,514
9871426,9983,-0.103760,0.381104,0.895142,520
9881435,10009,-0.103149,0.380981,0.894775,517
9891441,10006,-0.103149,0.380249,0.895142,520
9901454,10013,-0.101929,0.381104,0.893555,520
9911441,9987,-0.099854,0.380127,0.894653,521
9921435,9994,-0.100342,0.378906,0.894653,519
9931444,10009,-0.102783,0.375854,0.895752,520
9941435,9991,-0.104248,0.378540,0.894287,518
9951429,9994,-0.103027,0.379272,0.895386,520
9961439,10010,-0.102051,0.380737,0.895264,510
9971423,9984,-0.101563,0.380737,0.894897,516
9981433,10010,-0.101074,0.380859,0.893066,515
9991434,10001,-0.101807,0.381592,0.893921,515
10001423,9989,-0.103149,0.380981,0.894653,509
10011441,10018,-0.102905,0.379883,0.895142,516
10021436,9995,-0.101929,0.379883,0.894409,514
10031433,9997,-0.102539,0.379028,0.895020,513
10041438,10005,-0.103516,0.377197,0.894165,508
10051427,9989,-0.103760,0.378296,0.892578,512
10061420,9993,-0.104492,0.379395,0.893311,510
10071440,10020,-0.104004,0.380127,0.895264,511
10081416,9976,-0.101929,0.382446,0.895386,511
10091419,10003,-0.101074,0.381470,0.895386,512
10101427,10008,-0.101074,0.380371,0.893066,508
10111467,10040,-0.103394,0.379517,0.892944,511
10121423,9956,-0.102783,0.379395,0.892456,503
10131436,10013,-0.100952,0.380005,0.893677,511
10141433,9997,-0.102417,0.378418,0.895508,512
10151440,10007,-0.105103,0.378174,0.893311,509
10161427,9987,-0.105347,0.377808,0.895020,510
10171428,10001,-0.103394,0.379272,0.896240,508
10181424,9996,-0.100708,0.383057,0.895874,505
10191423,9999,-0.098999,0.385498,0.894165,508
10201420,9997,-0.100098,0.381958,0.894531,512
10211423,10003,-0.101685,0.375732,0.895264,525
10221430,10007,-0.104004,0.376099,0.894531,509
10231424,9994,-0.105103,0.378296,0.894531,512
10241435,10011,-0.105591,0.378052,0.895264,508
10251417,9982,-0.106323,0.378784,0.895874,512
10261441,10024,-0.102539,0.380981,0.896118,511
10271447,10006,-0.099976,0.382080,0.892212,512
10281429,9982,-0.100464,0.381104,0.892090,511
10291437,10008,-0.100830,0.380737,0.895386,511
10301453,10016,-0.103516,0.379761,0.896606,510
10311440,9987,-0.105835,0.378662,0.895508,509
10321431,9991,-0.107666,0.374512,0.891846,504
10331432,10001,-0.107300,0.377075,0.891357,508
10341444,10012,-0.102539,0.380859,0.892456,491
10351430,9986,-0.097290,0.384521,0.897583,506
10361425,9995,-0.093628,0.385620,0.892212,510
10371431,10006,-0.099854,0.379272,0.899048,503
10381419,9988,-0.106934,0.379395,0.890259,509
10391438,10019,-0.108765,0.376221,0.898682,511
10401439,10001,-0.105957,0.381470,0.895752,508
10411432,9993,-0.100464,0.382080,0.895874,509
10421417,9985,-0.098022,0.379272,0.894043,509
10431441,10024,-0.106689,0.371582,0.892090,509
10441437,9996,-0.106934,0.374756,0.891113,510
10451437,10000,-0.106567,0.378174,0.893433,502
10461436,9999,-0.105103,0.383179,0.896729,512
10471430,9994,-0.100464,0.388794,0.896240,509
10481428,9998,-0.097534,0.387817,0.898437,503
10491431,10003,-0.098633,0.379883,0.891113,504
10501427,9996,-0.102783,0.372681,0.888550,502
10511436,10009,-0.107910,0.370728,0.892212,506
10521439,10003,-0.110107,0.371948,0.894409,510
10531427,9988,-0.106689,0.377319,0.897095,509
10541417,9990,-0.101318,0.385498,0.896240,508
10551440,10023,-0.096313,0.386597,0.891113,511
10561443,10003,-0.096191,0.383301,0.893433,511
10571420,9977,-0.099854,0.380127,0.891357,511
10581419,9999,-0.102173,0.377686,0.893677,508
10591432,10013,-0.105835,0.376221,0.898071,510
10601439,10007,-0.106812,0.377930,0.898804,507
10611435,9996,-0.102905,0.381226,0.893921,512
10621423,9988,-0.099976,0.379639,0.892822,509
10631431,10008,-0.102295,0.378662,0.891113,515
10641424,9993,-0.100952,0.378540,0.890991,514
10651445,10021,-0.102173,0.383423,0.895020,512
10661464,10019,-0.102417,0.383057,0.896484,515
10671442,9978,-0.103149,0.380127,0.898315,518
10681441,9999,-0.103271,0.381714,0.895386,517
10691430,9989,-0.103638,0.377930,0.893311,519
10701421,9991,-0.101440,0.376831,0.890869,515
10711426,10005,-0.104614,0.377930,0.893921,519
10721430,10004,-0.102417,0.380493,0.895752,521
10731418,9988,-0.101563,0.382690,0.895630,520
10741437,10019,-0.103027,0.380981,0.896729,515
10751431,9994,-0.103516,0.381470,0.894287,524
10761420,9989,-0.100220,0.380493,0.894653,521
10771418,9998,-0.101685,0.378174,0.894531,516
10781440,10022,-0.102173,0.378052,0.894653,514
10791431,9991,-0.103638,0.377197,0.895508,523
10801460,10029,-0.105591,0.378906,0.896606,521
10811428,9968,-0.103271,0.380737,0.894897,510
10821445,10017,-0.101929,0.381104,0.892334,513
10831466,10021,-0.102783,0.381714,0.894165,516
10841445,9979,-0.100464,0.382080,0.890381,512
10851436,9991,-0.101074,0.379272,0.894531,517
10861439,10003,-0.103394,0.379150,0.895020,515
10871426,9987,-0.103271,0.379761,0.894287,510
10881443,10017,-0.105103,0.379395,0.893921,510
10891442,9999,-0.105103,0.378906,0.895142,509
10901445,10003,-0.103271,0.379761,0.892578,512
10911444,9999,-0.102295,0.378662,0.893555,505
10921443,9999,-0.103394,0.380493,0.893799,505
10931425,9982,-0.101196,0.383911,0.893433,511
10941434,10009,-0.101196,0.384644,0.895020,511
10951419,9985,-0.100708,0.384766,0.895630,510
10961439,10020,-0.099731,0.383301,0.894531,510
10971432,9993,-0.098755,0.380005,0.893799,511
10981436,10004,-0.107300,0.377075,0.891968,506
10991417,9981,-0.108643,0.375488,0.895874,511
11001419,10002,-0.108154,0.376099,0.898071,512
11011438,10019,-0.104980,0.377930,0.895386,513
11021466,10028,-0.102539,0.379883,0.894043,512
11031443,9977,-0.098389,0.383911,0.892578,514
11041420,9977,-0.096924,0.387085,0.895996,511
11051436,10016,-0.096924,0.386597,0.896118,507
11061430,9994,-0.101929,0.380859,0.895630,512
11071434,10004,-0.106812,0.376343,0.893311,508
11081441,10007,-0.108154,0.373413,0.894531,513
11091432,9991,-0.105835,0.377808,0.896240,511
11101427,9995,-0.103394,0.379272,0.894897,511
11111441,10014,-0.101074,0.380127,0.893433,510
11121419,9978,-0.100464,0.382446,0.893799,506
11131438,10019,-0.099243,0.385132,0.893921,504
11141432,9994,-0.099731,0.383423,0.894165,505
11151440,10008,-0.103760,0.381470,0.894287,510
11161435,9995,-0.105469,0.379395,0.895020,505
11171422,9987,-0.105713,0.376709,0.895142,512
11181442,10020,-0.107300,0.376099,0.894287,507
11191430,9988,-0.106812,0.375244,0.893433,509
11201460,10030,-0.104370,0.378052,0.894531,511
11211444,9984,-0.101440,0.382202,0.893433,510
11221428,9984,-0.098755,0.386719,0.893799,502
11231421,9993,-0.098511,0.387329,0.895630,510
11241435,10014,-0.098267,0.386108,0.895630,506
11251436,10001,-0.102783,0.378906,0.892334,510
11261437,10001,-0.106934,0.373047,0.893677,504
11271429,9992,-0.108521,0.372925,0.891479,511
11281428,9999,-0.106689,0.375854,0.895020,511
11291424,9996,-0.104126,0.379395,0.895508,503
11301435,10011,-0.101196,0.383423,0.895386,512
11311445,10010,-0.101196,0.384155,0.892456,509
11321429,9984,-0.100952,0.383179,0.892212,504
11331428,9999,-0.101196,0.382813,0.894897,512
11341446,10018,-0.100464,0.382568,0.895142,511
11351439,9993,-0.100708,0.380371,0.894287,510
11361432,9993,-0.106323,0.374268,0.892456,509
11371420,9988,-0.108521,0.375366,0.895020,508
11381449,10029,-0.104980,0.379395,0.894897,510
11391428,9979,-0.100220,0.383545,0.895630,508
11401444,10016,-0.099976,0.383423,0.895508,511
11411424,9980,-0.103149,0.383423,0.895386,511
11421438,10014,-0.102417,0.381714,0.893433,509
11431421,9983,-0.103516,0.379150,0.894897,508
11441422,10001,-0.105103,0.376099,0.894409,504
11451421,9999,-0.105713,0.377686,0.895752,509
11461431,10010,-0.103394,0.381592,0.895264,509
11471428,9997,-0.102173,0.380371,0.895874,509
11481441,10013,-0.101685,0.380127,0.893188,510
11491419,9978,-0.101318,0.380127,0.893066,504
11501437,10018,-0.101440,0.382324,0.891602,510
11511426,9989,-0.100220,0.382446,0.894897,509
11521431,10005,-0.104614,0.379395,0.895508,514
11531432,10001,-0.105347,0.378540,0.894531,508
11541434,10002,-0.105469,0.375854,0.892334,508
11551419,9985,-0.105713,0.376099,0.894409,510
11561438,10019,-0.104370,0.379517,0.892822,515
11571418,9980,-0.100464,0.385132,0.893433,518
11581433,10015,-0.099731,0.383301,0.895264,516
11591417,9984,-0.101074,0.379272,0.893555,519
11601445,10028,-0.101685,0.377563,0.892578,515
11611442,9997,-0.101807,0.377808,0.893188,520
11621429,9987,-0.104004,0.379517,0.893066,520
11631443,10014,-0.105713,0.378418,0.896240,523
11641439,9996,-0.105835,0.378784,0.896484,517
11651439,10000,-0.104492,0.379639,0.894287,522
11661419,9980,-0.103149,0.380005,0.892334,523
11671420,10001,-0.099609,0.381592,0.892578,521
11681445,10025,-0.098511,0.382690,0.893799,518
11691436,9991,-0.101807,0.381836,0.894653,520
11701431,9995,-0.104980,0.379639,0.895630,518
11711427,9996,-0.106445,0.378174,0.895142,511
11721439,10012,-0.106323,0.376587,0.894165,511
11731451,10012,-0.104736,0.377563,0.894775,516
11741422,9971,-0.103638,0.380981,0.894897,516
11751455,10033,-0.101318,0.383545,0.895020,515
11761423,9968,-0.101440,0.382690,0.894409,510
11771428,10005,-0.101807,0.380371,0.894653,514
11781430,10002,-0.102173,0.380859,0.894287,514
11791441,10011,-0.102051,0.380249,0.895508,508
11801445,10004,-0.103638,0.380859,0.894897,511
11811444,9999,-0.105103,0.379272,0.895508,512
11821416,9972,-0.106812,0.379272,0.893921,511
11831418,10002,-0.104858,0.379761,0.894043,511
11841441,10023,-0.104492,0.380737,0.894531,511
11851438,9997,-0.101318,0.380493,0.893188,511
11861417,9979,-0.099365,0.381348,0.894043,507
11871436,10019,-0.101318,0.379272,0.892944,510
11881442,10006,-0.102539,0.376831,0.893799,511
11891428,9986,-0.104004,0.378906,0.895142,512
11901424,9996,-0.103638,0.385376,0.895630,512
11911441,10017,-0.102661,0.382813,0.896240,511
11921427,9986,-0.102783,0.378906,0.895142,512
11931429,10002,-0.104858,0.375366,0.894287,500
11941436,10007,-0.104980,0.376953,0.891602,511
11951427,9991,-0.102417,0.382324,0.894653,505
11961424,9997,-0.101074,0.383423,0.896606,512
11971420,9996,-0.100586,0.383423,0.896484,512
11981423,10003,-0.103882,0.380493,0.895630,510
11991433,10010,-0.105225,0.377441,0.893066,505
12001430,9997,-0.105713,0.375977,0.890625,510
12011418,9988,-0.102539,0.380615,0.895386,512
12021424,10006,-0.102051,0.383179,0.897827,512
12031442,10018,-0.102661,0.382690,0.896973,505
12041430,9988,-0.102661,0.379761,0.893799,503
12051438,10008,-0.104004,0.376587,0.892700,510
12061430,9992,-0.103271,0.379639,0.893433,509
12071433,10003,-0.101807,0.382690,0.895020,510
12081449,10016,-0.101685,0.383667,0.897217,510
12091425,9976,-0.102417,0.381226,0.895142,511
12101445,10020,-0.104248,0.378906,0.892822,503
12111440,9995,-0.105347,0.377686,0.892944,510
12121418,9978,-0.103027,0.380005,0.894287,509
12131416,9998,-0.102661,0.380371,0.894409,513
12141430,10014,-0.103027,0.380371,0.894409,510
12151429,9999,-0.103271,0.380249,0.895264,509
12161444,10015,-0.103027,0.380981,0.894287,511
12171441,9997,-0.102295,0.379395,0.893066,509
