t_us,dt_us,ax,ay,az,gx,gy,gz,mx,my,mz,ppg,condition
16817427,10007,-0.288452,-0.908203,0.363403,2.014160,-0.793457,3.356934,18.041992,10.119629,40.222168,529,static
16832789,15362,-0.287476,-0.907837,0.363892,2.075195,-0.732422,3.479004,0.000000,0.000000,0.000000,513,static
16846994,14205,-0.288574,-0.907837,0.363159,1.831055,-0.671387,3.295898,18.334961,10.803223,39.660645,515,static
16862455,15461,-0.288696,-0.907715,0.363892,2.014160,-0.610352,3.112793,0.000000,0.000000,0.000000,511,static
16876408,13953,-0.288330,-0.907837,0.364746,2.075195,-0.610352,3.112793,0.000000,0.000000,0.000000,507,static
16890720,14312,-0.287354,-0.908569,0.363892,1.953125,-0.549316,3.234863,17.822266,11.071777,39.282227,509,static
16906396,15676,-0.288330,-0.908081,0.363525,2.014160,-0.488281,3.356934,0.000000,0.000000,0.000000,509,static
16920855,14459,-0.288086,-0.906860,0.362671,1.892090,-0.549316,3.295898,0.000000,0.000000,0.000000,505,static
16935695,14840,-0.288208,-0.908325,0.363770,1.953125,-0.732422,3.234863,17.663574,11.120605,39.916992,508,static
16951710,16015,-0.287476,-0.906982,0.364136,1.892090,-0.732422,3.234863,0.000000,0.000000,0.000000,509,static
16966204,14494,-0.287476,-0.908081,0.363770,1.892090,-0.610352,3.234863,0.000000,0.000000,0.000000,512,static
16980953,14749,-0.286377,-0.908203,0.364258,1.770020,-0.671387,3.295898,0.000000,0.000000,0.000000,515,static
16996413,15460,-0.286865,-0.907227,0.364990,1.831055,-0.671387,3.234863,18.164062,10.815430,39.648437,517,static
17012190,15777,-0.287109,-0.908081,0.364624,1.892090,-0.671387,3.234863,0.000000,0.000000,0.000000,517,static
17026283,14093,-0.287231,-0.908081,0.365112,2.014160,-0.610352,3.051758,0.000000,0.000000,0.000000,509,static
17040377,14094,-0.287354,-0.906860,0.364746,2.014160,-0.732422,3.295898,17.858887,10.937500,40.832520,511,static
17055835,15458,-0.286865,-0.907104,0.364258,2.014160,-0.732422,3.356934,0.000000,0.000000,0.000000,512,static
17070545,14710,-0.287109,-0.907837,0.364746,1.831055,-0.610352,3.295898,0.000000,0.000000,0.000000,502,static
17085403,14858,-0.287720,-0.907959,0.364624,2.197266,-0.671387,3.295898,17.871094,10.998535,40.014648,508,static
17100706,15303,-0.287476,-0.907104,0.365112,2.014160,-0.671387,3.295898,0.000000,0.000000,0.000000,503,static
17114938,14232,-0.287109,-0.907593,0.364624,2.075195,-0.488281,3.417969,0.000000,0.000000,0.000000,497,static
17129296,14358,-0.288086,-0.906738,0.364380,2.075195,-0.549316,3.295898,0.000000,0.000000,0.000000,491,static
17143672,14376,-0.287842,-0.908081,0.365356,1.892090,-0.549316,3.234863,18.078613,10.949707,40.588379,492,static
17159889,16217,-0.287109,-0.907837,0.364624,1.953125,-0.549316,3.173828,0.000000,0.000000,0.000000,487,static
17174478,14589,-0.287109,-0.907471,0.364258,2.136230,-0.549316,3.173828,0.000000,0.000000,0.000000,483,static
17189213,14735,-0.287964,-0.907715,0.365112,1.892090,-0.488281,3.112793,18.200684,10.839844,40.185547,486,static
17205909,16696,-0.287231,-0.907715,0.364868,2.014160,-0.671387,3.112793,0.000000,0.000000,0.000000,484,static
17220099,14190,-0.287842,-0.907104,0.365112,1.892090,-0.610352,3.173828,0.000000,0.000000,0.000000,487,static
17234597,14498,-0.287842,-0.906982,0.364868,2.014160,-0.671387,3.295898,17.480469,10.937500,41.210937,486,static
17250239,15642,-0.287720,-0.906982,0.365356,2.136230,-0.671387,3.295898,0.000000,0.000000,0.000000,489,static
17264891,14652,-0.287476,-0.908325,0.364136,2.136230,-0.549316,3.295898,0.000000,0.000000,0.000000,489,static
17279853,14962,-0.288086,-0.908447,0.365356,2.197266,-0.549316,3.051758,0.000000,0.000000,0.000000,488,static
17295253,15400,-0.287842,-0.907349,0.365479,2.319336,-0.732422,3.173828,16.845703,11.218262,39.294434,492,static
17311416,16163,-0.287720,-0.908203,0.363525,2.258301,-0.671387,3.234863,0.000000,0.000000,0.000000,485,static
17326478,15062,-0.288208,-0.907471,0.364746,2.380371,-0.732422,3.234863,0.000000,0.000000,0.000000,485,static
17341864,15386,-0.286865,-0.906860,0.364380,2.014160,-0.671387,3.356934,17.810059,10.839844,40.917969,484,static
17357177,15313,-0.286377,-0.907837,0.363647,2.075195,-0.488281,3.112793,0.000000,0.000000,0.000000,488,static
17371971,14794,-0.287354,-0.907104,0.364502,2.197266,-0.671387,3.173828,0.000000,0.000000,0.000000,492,static
17386501,14530,-0.287231,-0.907593,0.364746,2.197266,-0.732422,3.479004,18.139648,10.534668,40.881348,499,static
17403356,16855,-0.287842,-0.907837,0.363892,2.258301,-0.549316,3.601074,0.000000,0.000000,0.000000,507,static
17418124,14768,-0.287476,-0.908203,0.364746,2.258301,-0.610352,3.356934,0.000000,0.000000,0.000000,533,static
17434151,16027,-0.287109,-0.907471,0.364990,2.075195,-0.549316,3.356934,18.017578,11.096191,40.576172,559,static
17450943,16792,-0.287476,-0.907593,0.365723,2.075195,-0.671387,3.295898,0.000000,0.000000,0.000000,587,static
17467075,16132,-0.287842,-0.906860,0.364990,2.075195,-0.610352,3.234863,0.000000,0.000000,0.000000,599,static
17484022,16947,-0.288330,-0.907715,0.364380,1.953125,-0.610352,3.234863,18.212891,11.242676,40.600586,614,static
17501060,17038,-0.288452,-0.907227,0.364624,1.953125,-0.488281,3.295898,0.000000,0.000000,0.000000,620,static
17516863,15803,-0.287231,-0.907104,0.364868,2.075195,-0.671387,3.356934,0.000000,0.000000,0.000000,613,static
17533431,16568,-0.287109,-0.908081,0.364624,2.014160,-0.671387,3.234863,18.115234,10.241699,41.076660,598,static
17549876,16445,-0.287842,-0.908936,0.364990,2.075195,-0.671387,3.295898,0.000000,0.000000,0.000000,574,static
17566319,16443,-0.287109,-0.908569,0.364990,2.258301,-0.732422,3.356934,0.000000,0.000000,0.000000,553,static
17582170,15851,-0.286743,-0.908203,0.364624,2.258301,-0.793457,3.295898,17.443848,11.267090,41.247559,544,static
