t_us,dt_us,ax,ay,az,ppg
17933509,10002,-0.118530,-1.001587,0.153320,510
17943510,10001,-0.118408,-1.001099,0.153564,508
17953521,10011,-0.118774,-1.000977,0.152954,512
17963519,9998,-0.117676,-1.001465,0.152710,508
17973536,10017,-0.119019,-1.001465,0.153076,508
17983519,9983,-0.118164,-1.001343,0.152344,504
17993518,9999,-0.117676,-1.002197,0.151978,507
18003509,9991,-0.117432,-1.001953,0.153442,511
18013513,10004,-0.118530,-1.001343,0.154541,509
18023524,10011,-0.118530,-1.002075,0.153442,508
18033527,10003,-0.118774,-1.001587,0.152832,507
18043530,10003,-0.118530,-1.001587,0.153564,509
18053535,10005,-0.117676,-1.002808,0.152222,509
18063533,9998,-0.117676,-1.002319,0.152954,507
18073526,9993,-0.117676,-1.002441,0.153931,510
18083528,10002,-0.118286,-1.001831,0.153687,507
18093519,9991,-0.118774,-1.002197,0.152710,511
18103533,10014,-0.118164,-1.001953,0.153198,512
18113527,9994,-0.119873,-1.001587,0.153809,511
18123507,9980,-0.119141,-1.000977,0.153442,503
18133522,10015,-0.117798,-1.001099,0.152100,511
18143528,10006,-0.117188,-1.002075,0.153564,507
18153516,9988,-0.116455,-1.001953,0.152832,509
18163560,10044,-0.116333,-1.001953,0.153320,507
18173517,9957,-0.116455,-1.001343,0.153198,510
18183511,9994,-0.118408,-1.001831,0.154419,508
18193512,10001,-0.118652,-1.001099,0.152222,510
18203533,10021,-0.118042,-1.001221,0.152588,512
18213512,9979,-0.118652,-1.001709,0.153076,511
18223514,10002,-0.119263,-1.001465,0.153198,504
18233508,9994,-0.118652,-1.002075,0.152466,514
18243514,10006,-0.118286,-1.000977,0.153076,512
18253522,10008,-0.117798,-1.000854,0.153442,515
18263510,9988,-0.115845,-1.004395,0.153442,511
18273515,10005,-0.116211,-1.002930,0.153198,513
18283536,10021,-0.116699,-1.002319,0.154175,513
18293510,9974,-0.117188,-1.001587,0.154175,512
18303557,10047,-0.117920,-1.002197,0.153809,519
18313510,9953,-0.118774,-1.001831,0.152588,519
18323532,10022,-0.118042,-1.002075,0.151245,515
18333520,9988,-0.117920,-1.001953,0.152954,518
18343528,10008,-0.118408,-1.001831,0.153442,512
18353534,10006,-0.118164,-1.003174,0.152344,516
18363534,10000,-0.117310,-1.001587,0.152100,515
18373511,9977,-0.116943,-1.002319,0.154053,516
18383547,10036,-0.117310,-1.002075,0.152954,514
18393536,9989,-0.118408,-1.001953,0.153442,512
18403515,9979,-0.117310,-1.002319,0.152588,509
18413527,10012,-0.117432,-1.001587,0.152588,509
18423522,9995,-0.116333,-1.002197,0.153687,512
18433510,9988,-0.117310,-1.001221,0.152588,513
18443536,10026,-0.118042,-1.001343,0.152710,509
18453527,9991,-0.117432,-1.001465,0.153564,504
18463534,10007,-0.117920,-1.002319,0.154663,512
18473512,9978,-0.117798,-1.001831,0.151978,503
18483507,9995,-0.117065,-1.001465,0.152710,506
18493533,10026,-0.116943,-1.001465,0.153198,508
18503528,9995,-0.116821,-1.001465,0.153442,510
18513526,9998,-0.116821,-1.002319,0.153320,508
18523514,9988,-0.116333,-1.002686,0.153687,506
18533529,10015,-0.118042,-1.001099,0.153564,510
18543512,9983,-0.118652,-1.001221,0.153687,509
18553507,9995,-0.117920,-1.002197,0.153564,509
18563523,10016,-0.118042,-1.001465,0.152954,511
