t_us,dt_us,ax,ay,az,ppg
74425779,10010,-0.063843,-0.644531,-0.800293,525
74435796,10017,-0.061279,-0.641602,-0.798096,525
74445778,9982,-0.057251,-0.635620,-0.794922,525
74455791,10013,-0.057129,-0.630493,-0.792603,522
74465787,9996,-0.058960,-0.630859,-0.789429,526
74475778,9991,-0.062256,-0.630249,-0.787476,517
74485771,9993,-0.063599,-0.630005,-0.785645,522
74495775,10004,-0.065674,-0.629517,-0.785400,516
74505794,10019,-0.063354,-0.633789,-0.784668,522
74515774,9980,-0.064209,-0.634399,-0.783447,524
74525793,10019,-0.065186,-0.635620,-0.784058,524
74535779,9986,-0.063477,-0.637817,-0.787109,514
74545786,10007,-0.061646,-0.638184,-0.789429,518
74555806,10020,-0.057861,-0.638794,-0.793091,520
74565790,9984,-0.058838,-0.639648,-0.795776,521
74575783,9993,-0.061768,-0.640259,-0.795532,509
74585784,10001,-0.063477,-0.639648,-0.793823,515
74595780,9996,-0.067383,-0.639160,-0.793457,520
74605789,10009,-0.070068,-0.639771,-0.793579,518
74615774,9985,-0.070557,-0.639893,-0.792480,516
74625775,10001,-0.067871,-0.641968,-0.791748,513
74635799,10024,-0.066772,-0.642212,-0.791138,515
74645788,9989,-0.066650,-0.639771,-0.790283,517
74655780,9992,-0.066406,-0.641968,-0.790283,510
74665778,9998,-0.067749,-0.643555,-0.789185,507
74675770,9992,-0.066650,-0.638550,-0.789917,515
74685772,10002,-0.067261,-0.638794,-0.789917,507
74695773,10001,-0.066284,-0.642578,-0.790039,507
74705784,10011,-0.067993,-0.644653,-0.788574,515
74715775,9991,-0.065063,-0.644165,-0.788452,514
74736566,20791,-0.064209,-0.646362,-0.789307,513
74742739,6173,-0.065063,-0.647461,-0.789917,514
74749069,6330,0.000000,0.000000,0.000000,513
74755781,6712,-0.064697,-0.649170,-0.791992,506
74765790,10009,-0.060913,-0.648682,-0.795166,511
74775793,10003,-0.056152,-0.650391,-0.796387,505
74785769,9976,-0.057129,-0.649536,-0.796509,511
74795787,10018,-0.058716,-0.644165,-0.794312,511
74805770,9983,-0.060181,-0.643188,-0.792603,512
74815779,10009,-0.063354,-0.640991,-0.790894,504
74829404,13625,-0.066284,-0.639038,-0.790527,512
74835790,6386,-0.063477,-0.641724,-0.790405,509
74845781,9991,-0.063721,-0.640503,-0.789795,512
74855770,9989,-0.062622,-0.639038,-0.789185,505
74865791,10021,-0.063965,-0.637451,-0.789307,510
74875777,9986,-0.063843,-0.636108,-0.789185,511
74885789,10012,-0.066528,-0.637817,-0.790405,505
74895776,9987,-0.065308,-0.635498,-0.789917,510
74905771,9995,-0.066040,-0.634155,-0.790039,512
74915771,10000,-0.068237,-0.635010,-0.791138,506
74933888,18117,-0.067017,-0.638794,-0.790039,512
74939233,5345,-0.067261,-0.640259,-0.789185,511
74945781,6548,-0.066650,-0.642578,-0.789307,513
74955787,10006,-0.065186,-0.642090,-0.789185,512
74992116,36329,-0.061157,-0.644897,-0.793457,507
74997568,5452,-0.061401,-0.646118,-0.793945,512
75003013,5445,0.000000,0.000000,0.000000,506
75007165,4152,-0.060303,-0.644409,-0.793579,513
75012843,5678,-0.059326,-0.643066,-0.792969,512
75018455,5612,0.000000,0.000000,0.000000,512
75031003,12548,-0.061401,-0.642212,-0.790771,505
75036395,5392,0.000000,0.000000,0.000000,512
75045788,9393,-0.060669,-0.639038,-0.786621,513
75055778,9990,-0.061401,-0.639282,-0.787476,513
75065773,9995,-0.066284,-0.639038,-0.787720,513
75075781,10008,-0.059937,-0.646118,-0.790771,512
75085771,9990,-0.066406,-0.645752,-0.791382,513
75095770,9999,-0.066162,-0.640625,-0.788940,512
75121960,26190,-0.062012,-0.639648,-0.793701,516
75127714,5754,0.000000,0.000000,0.000000,513
75131783,4069,-0.064453,-0.638550,-0.790894,514
75137483,5700,0.000000,0.000000,0.000000,508
75145784,8301,-0.062866,-0.638916,-0.788574,510
75155769,9985,-0.063232,-0.638794,-0.786743,511
75165778,10009,-0.064087,-0.639771,-0.787720,521
75175794,10016,-0.066895,-0.640381,-0.787842,524
75185774,9980,-0.066284,-0.640625,-0.790161,516
75195774,10000,-0.067749,-0.641724,-0.791504,524
75205777,10003,-0.062988,-0.640991,-0.793579,525
75215798,10021,-0.062622,-0.644409,-0.795898,526
75225792,9994,-0.061768,-0.642578,-0.794922,520
75235778,9986,-0.062622,-0.642700,-0.795898,528
75245772,9994,-0.062134,-0.642944,-0.796143,520
75255779,10007,-0.065308,-0.641968,-0.795898,528
75265793,10014,-0.065430,-0.642700,-0.793091,524
75275789,9996,-0.066162,-0.642212,-0.790894,514
75285780,9991,-0.063599,-0.641113,-0.789307,521
75295769,9989,-0.063354,-0.639771,-0.789062,514
75305774,10005,-0.061523,-0.638428,-0.786499,521
75315788,10014,-0.061157,-0.636963,-0.787720,519
75325775,9987,-0.062988,-0.636475,-0.789795,511
75346317,20542,-0.060425,-0.640747,-0.793213,512
75352595,6278,-0.057983,-0.635986,-0.792114,511
75359423,6828,-0.058594,-0.647949,-0.794189,512
75365790,6367,0.000000,0.000000,0.000000,517
75375801,10011,-0.064209,-0.642822,-0.792725,510
75385780,9979,-0.063843,-0.643799,-0.791138,511
75395782,10002,-0.065552,-0.644287,-0.791138,515
75405797,10015,-0.064697,-0.645020,-0.789917,510
75415795,9998,-0.067993,-0.643677,-0.788452,507
75425795,10000,-0.064331,-0.644775,-0.788208,513
75435790,9995,-0.064087,-0.641846,-0.788208,513
75445781,9991,-0.064087,-0.642212,-0.787842,516
75455792,10011,-0.063354,-0.645386,-0.788330,513
75465778,9986,-0.062500,-0.644897,-0.789062,505
75475784,10006,-0.061768,-0.640503,-0.790039,509
75485781,9997,-0.061279,-0.641602,-0.791016,514
75495785,10004,-0.062744,-0.641724,-0.791992,511
75505769,9984,-0.061279,-0.642578,-0.792236,510
75515793,10024,-0.061279,-0.642090,-0.792480,509
75525774,9981,-0.062256,-0.641479,-0.791992,505
