t_us,dt_us,ax,ay,az,ppg
22979473,10023,-0.279419,-0.957397,-0.254883,514
22989450,9977,-0.278198,-0.956787,-0.253540,516
22999463,10013,-0.278687,-0.955200,-0.251709,515
23009465,10002,-0.278931,-0.956787,-0.250610,515
23019465,10000,-0.279663,-0.958374,-0.250977,514
23029465,10000,-0.279419,-0.953857,-0.251221,505
23039466,10001,-0.281128,-0.950317,-0.249634,509
23049470,10004,-0.281616,-0.949341,-0.249268,503
23059497,10027,-0.280396,-0.949951,-0.248779,502
23069456,9959,-0.278687,-0.953369,-0.249390,502
23079475,10019,-0.278442,-0.956543,-0.249512,499
23089478,10003,-0.284058,-0.949829,-0.249390,495
23099454,9976,-0.285522,-0.945435,-0.249512,498
23109461,10007,-0.286743,-0.942749,-0.250488,499
23119459,9998,-0.284668,-0.942139,-0.252930,495
23129472,10013,-0.282715,-0.941040,-0.255127,497
23139455,9983,-0.278809,-0.943726,-0.256104,495
23149453,9998,-0.277832,-0.946167,-0.257324,497
23159468,10015,-0.279785,-0.947144,-0.257568,492
23169453,9985,-0.281372,-0.948853,-0.256958,489
23179474,10021,-0.283569,-0.949341,-0.256592,498
23189486,10012,-0.284180,-0.954834,-0.254761,498
23199451,9965,-0.282104,-0.956787,-0.250732,499
23209474,10023,-0.282471,-0.954834,-0.250244,501
23219467,9993,-0.283203,-0.953857,-0.251587,498
23229474,10007,-0.283936,-0.953613,-0.253296,507
23239472,9998,-0.282227,-0.952393,-0.255005,507
23249466,9994,-0.276001,-0.945801,-0.254883,512
23259476,10010,-0.272339,-0.945679,-0.254517,519
23269474,9998,-0.270752,-0.946411,-0.253662,518
23279471,9997,-0.268433,-0.949341,-0.252930,527
23289467,9996,-0.268555,-0.955933,-0.251709,533
23299457,9990,-0.270020,-0.964600,-0.253784,535
23309500,10043,-0.271851,-0.962036,-0.252686,543
23319467,9967,-0.275024,-0.961792,-0.251099,547
23329468,10001,-0.277344,-0.962402,-0.253174,545
23339471,10003,-0.279419,-0.962524,-0.254639,551
23349458,9987,-0.278564,-0.964600,-0.254395,542
23359468,10010,-0.275391,-0.960571,-0.250366,546
