t_us,dt_us,ax,ay,az,ppg
43405629,10010,1.152588,0.234253,0.343140,528
43415641,10012,1.159424,0.239868,0.359253,530
43425648,10007,1.153809,0.239014,0.371216,524
43435641,9993,1.144165,0.215942,0.380615,526
43445629,9988,1.116455,0.183716,0.390259,528
43455631,10002,1.093872,0.118164,0.404419,526
43465622,9991,1.065186,0.041138,0.381836,531
43475639,10017,1.036377,0.023682,0.368896,530
43485639,10000,1.007446,0.032593,0.373169,540
43495641,10002,0.970947,0.045166,0.364990,534
43505626,9985,0.968018,0.038818,0.362793,536
43515632,10006,0.977417,-0.016357,0.352539,542
43525635,10003,0.991089,-0.002808,0.347534,541
43535640,10005,1.001465,-0.026611,0.343384,544
43545634,9994,1.019165,-0.063354,0.323853,546
43555633,9999,1.034546,-0.001099,0.301636,549
43565632,9999,1.078735,0.018921,0.272949,547
43575635,10003,1.084839,0.098022,0.233521,549
43585663,10028,1.091431,0.151367,0.121582,548
43595620,9957,1.217041,-0.038086,0.149292,542
43605621,10001,1.248047,-0.058716,0.138794,536
43615637,10016,1.257446,-0.082642,0.169189,532
43625639,10002,1.267456,-0.085815,0.164917,530
43635640,10001,1.276123,-0.074951,0.161621,540
43645648,10008,1.313721,-0.085205,0.182251,541
43655630,9982,1.300537,-0.108521,0.182861,556
43665634,10004,1.280273,-0.098877,0.186279,570
43675624,9990,1.241699,-0.080078,0.170532,578
43685623,9999,1.215210,-0.060669,0.164551,594
43695644,10021,1.192871,-0.049805,0.159790,602
43705624,9980,1.157593,-0.062256,0.145264,605
43715623,9999,1.172974,-0.070679,0.131348,603
43725642,10019,1.203369,-0.076294,0.102295,598
43735640,9998,1.211670,-0.082153,0.064697,591
43745627,9987,1.178101,-0.088257,0.028687,569
43755634,10007,1.069336,-0.088257,-0.032471,563
43765648,10014,1.003906,-0.090210,-0.058472,542
43775633,9985,0.960205,-0.089355,-0.072266,533
43785640,10007,0.933350,-0.085937,-0.077393,519
43795636,9996,0.922485,-0.086182,-0.071533,512
43805656,10020,0.926025,-0.092285,-0.038574,504
