t_us,dt_us,ax,ay,az,ppg
62901107,10022,-0.327393,0.022949,0.929199,505
62911092,9985,-0.326538,0.023926,0.929932,513
62921100,10008,-0.327393,0.025513,0.928833,512
62931111,10011,-0.331299,0.025391,0.925415,511
62941102,9991,-0.332031,0.022461,0.921997,512
62951104,10002,-0.332397,0.016479,0.921509,505
62961103,9999,-0.329590,0.015015,0.924194,507
62971109,10006,-0.328491,0.015259,0.928345,512
62981110,10001,-0.329224,0.013672,0.928345,511
62991085,9975,-0.329834,0.014038,0.926758,514
63001101,10016,-0.329346,0.014648,0.925781,507
63011107,10006,-0.327637,0.016235,0.930298,506
63021108,10001,-0.326660,0.020142,0.930420,513
63031097,9989,-0.328247,0.023071,0.932251,515
63041089,9992,-0.328857,0.020874,0.933960,510
63051090,10001,-0.331543,0.016724,0.930664,515
63061101,10011,-0.333618,0.016235,0.928101,516
63071092,9991,-0.332275,0.018433,0.927734,517
63081107,10015,-0.329468,0.021729,0.931152,516
63091100,9993,-0.327759,0.024292,0.933472,520
63101102,10002,-0.327148,0.024048,0.930420,515
63111099,9997,-0.327148,0.022461,0.924438,518
63121112,10013,-0.325195,0.023315,0.923828,515
63131094,9982,-0.326050,0.025024,0.926270,512
63141094,10000,-0.326172,0.025269,0.927368,511
63151110,10016,-0.329956,0.023560,0.927612,512
63161113,10003,-0.333618,0.016479,0.924072,509
63171089,9976,-0.336548,0.018311,0.927490,513
63181113,10024,-0.333740,0.019775,0.933838,519
63191097,9984,-0.332275,0.019897,0.933350,513
63201092,9995,-0.330322,0.018921,0.930420,504
63211104,10012,-0.328491,0.017700,0.928101,517
63221090,9986,-0.326416,0.024414,0.931152,515
63231087,9997,-0.327148,0.024170,0.931030,514
63241088,10001,-0.329346,0.024536,0.929199,510
63251087,9999,-0.330688,0.023560,0.929443,514
63261104,10017,-0.333618,0.022827,0.929199,511
63271088,9984,-0.332642,0.020996,0.926758,513
63281090,10002,-0.328857,0.019897,0.928467,509
63291097,10007,-0.324951,0.021851,0.932983,512
63301086,9989,-0.324829,0.023437,0.933838,513
63311114,10028,-0.323608,0.021851,0.929687,508
63321111,9997,-0.325317,0.021118,0.925781,515
63331103,9992,-0.330811,0.022949,0.923218,513
63341093,9990,-0.330933,0.022827,0.923340,513
63351109,10016,-0.331787,0.024414,0.926392,513
63361097,9988,-0.332275,0.026367,0.929810,509
63371092,9995,-0.334106,0.022827,0.927612,513
63381104,10012,-0.333496,0.015747,0.926392,513
63391107,10003,-0.329468,0.017456,0.932373,512
63401112,10005,-0.325928,0.019409,0.935913,512
63411099,9987,-0.324951,0.019165,0.934570,511
63421140,10041,-0.324829,0.017212,0.932373,507
63431102,9962,-0.327393,0.019897,0.924927,507
63441108,10006,-0.325562,0.021240,0.928101,513
63451095,9987,-0.327026,0.025269,0.929932,509
63461109,10014,-0.328979,0.027588,0.930298,512
63471089,9980,-0.331543,0.025391,0.927246,511
63481095,10006,-0.332886,0.024048,0.925659,511
63491087,9992,-0.331543,0.024536,0.928833,509
63501112,10025,-0.329468,0.023560,0.930298,512
63511086,9974,-0.328003,0.020386,0.929932,506
63521089,10003,-0.328369,0.017334,0.925781,505
63531100,10011,-0.328125,0.015503,0.923218,513
63541104,10004,-0.332275,0.014160,0.925537,511
63551098,9994,-0.332520,0.014404,0.927734,512
63561100,10002,-0.334473,0.015259,0.928223,511
63571100,10000,-0.336426,0.015137,0.927002,513
63581101,10001,-0.334595,0.015015,0.927612,512
63591088,9987,-0.331909,0.014893,0.932739,514
63601112,10024,-0.330933,0.018799,0.933838,508
63611088,9976,-0.330200,0.019043,0.932251,505
63621116,10028,-0.329712,0.021240,0.930420,512
63631096,9980,-0.329712,0.022583,0.927368,512
63641097,10001,-0.330200,0.024902,0.926392,512
63651087,9990,-0.328735,0.026489,0.929810,508
63661115,10028,-0.330811,0.025269,0.929687,505
63671094,9979,-0.333252,0.023315,0.927734,511
63681103,10009,-0.333984,0.021729,0.926880,506
63691094,9991,-0.333496,0.019775,0.926147,506
63701087,9993,-0.329834,0.018799,0.928101,511
63711102,10015,-0.326294,0.018921,0.926392,511
63721137,10035,-0.327148,0.016235,0.924683,512
63731090,9953,-0.328857,0.015625,0.922241,508
63741104,10014,-0.330200,0.016846,0.922363,507
63751110,10006,-0.332031,0.016235,0.925171,505
63761111,10001,-0.334839,0.011841,0.930298,509
63771091,9980,-0.336426,0.011475,0.929565,508
63781103,10012,-0.337891,0.012085,0.927856,510
63791096,9993,-0.336548,0.012207,0.927734,510
63801105,10009,-0.333130,0.011963,0.929443,512
63811109,10004,-0.327271,0.016724,0.929687,512
63821091,9982,-0.327637,0.018311,0.928955,511
63831100,10009,-0.328857,0.018677,0.926758,509
